Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Russell Wilson (11268747),Russell Wilson,11268747,CPT,18000,SEA@CHI 09/17/2018 08:15PM ET,SEA,22.42
QB,Mitchell Trubisky (11268748),Mitchell Trubisky,11268748,CPT,15300,SEA@CHI 09/17/2018 08:15PM ET,CHI,15.04
RB,Jordan Howard (11268749),Jordan Howard,11268749,CPT,15000,SEA@CHI 09/17/2018 08:15PM ET,CHI,15.7
WR,Allen Robinson II (11268750),Allen Robinson II,11268750,CPT,12900,SEA@CHI 09/17/2018 08:15PM ET,CHI,10.1
WR,Tyler Lockett (11268751),Tyler Lockett,11268751,CPT,12300,SEA@CHI 09/17/2018 08:15PM ET,SEA,14.9
QB,Russell Wilson (11268706),Russell Wilson,11268706,FLEX,12000,SEA@CHI 09/17/2018 08:15PM ET,SEA,22.42
RB,Tarik Cohen (11268752),Tarik Cohen,11268752,CPT,11400,SEA@CHI 09/17/2018 08:15PM ET,CHI,7.1
WR,Brandon Marshall (11268753),Brandon Marshall,11268753,CPT,11100,SEA@CHI 09/17/2018 08:15PM ET,SEA,13.6
TE,Trey Burton (11268754),Trey Burton,11268754,CPT,10500,SEA@CHI 09/17/2018 08:15PM ET,CHI,2.5
QB,Mitchell Trubisky (11268707),Mitchell Trubisky,11268707,FLEX,10200,SEA@CHI 09/17/2018 08:15PM ET,CHI,15.04
RB,Jordan Howard (11268708),Jordan Howard,11268708,FLEX,10000,SEA@CHI 09/17/2018 08:15PM ET,CHI,15.7
RB,Chris Carson (11268755),Chris Carson,11268755,CPT,9900,SEA@CHI 09/17/2018 08:15PM ET,SEA,9.9
QB,Chase Daniel (11268756),Chase Daniel,11268756,CPT,9000,SEA@CHI 09/17/2018 08:15PM ET,CHI,0
RB,Rashaad Penny (11268757),Rashaad Penny,11268757,CPT,8700,SEA@CHI 09/17/2018 08:15PM ET,SEA,8.3
WR,Allen Robinson II (11268709),Allen Robinson II,11268709,FLEX,8600,SEA@CHI 09/17/2018 08:15PM ET,CHI,10.1
WR,Tyler Lockett (11268710),Tyler Lockett,11268710,FLEX,8200,SEA@CHI 09/17/2018 08:15PM ET,SEA,14.9
QB,Brett Hundley (11268758),Brett Hundley,11268758,CPT,8100,SEA@CHI 09/17/2018 08:15PM ET,SEA,0
RB,Tarik Cohen (11268711),Tarik Cohen,11268711,FLEX,7600,SEA@CHI 09/17/2018 08:15PM ET,CHI,7.1
WR,Taylor Gabriel (11268759),Taylor Gabriel,11268759,CPT,7500,SEA@CHI 09/17/2018 08:15PM ET,CHI,7.5
WR,Doug Baldwin (11268760),Doug Baldwin,11268760,CPT,7500,SEA@CHI 09/17/2018 08:15PM ET,SEA,0
WR,Brandon Marshall (11268712),Brandon Marshall,11268712,FLEX,7400,SEA@CHI 09/17/2018 08:15PM ET,SEA,13.6
TE,Will Dissly (11268761),Will Dissly,11268761,CPT,7200,SEA@CHI 09/17/2018 08:15PM ET,SEA,22.5
TE,Trey Burton (11268713),Trey Burton,11268713,FLEX,7000,SEA@CHI 09/17/2018 08:15PM ET,CHI,2.5
WR,Anthony Miller (11268762),Anthony Miller,11268762,CPT,6900,SEA@CHI 09/17/2018 08:15PM ET,CHI,3.4
RB,Chris Carson (11268714),Chris Carson,11268714,FLEX,6600,SEA@CHI 09/17/2018 08:15PM ET,SEA,9.9
QB,Chase Daniel (11268715),Chase Daniel,11268715,FLEX,6000,SEA@CHI 09/17/2018 08:15PM ET,CHI,0
DST,Bears  (11268763),Bears ,11268763,CPT,6000,SEA@CHI 09/17/2018 08:15PM ET,CHI,14
RB,Rashaad Penny (11268716),Rashaad Penny,11268716,FLEX,5800,SEA@CHI 09/17/2018 08:15PM ET,SEA,8.3
WR,Jaron Brown (11268764),Jaron Brown,11268764,CPT,5700,SEA@CHI 09/17/2018 08:15PM ET,SEA,1.7
QB,Brett Hundley (11268717),Brett Hundley,11268717,FLEX,5400,SEA@CHI 09/17/2018 08:15PM ET,SEA,0
K,Cody Parkey (11268765),Cody Parkey,11268765,CPT,5400,SEA@CHI 09/17/2018 08:15PM ET,CHI,11
DST,Seahawks  (11268766),Seahawks ,11268766,CPT,5100,SEA@CHI 09/17/2018 08:15PM ET,SEA,7
WR,Taylor Gabriel (11268718),Taylor Gabriel,11268718,FLEX,5000,SEA@CHI 09/17/2018 08:15PM ET,CHI,7.5
WR,Doug Baldwin (11268719),Doug Baldwin,11268719,FLEX,5000,SEA@CHI 09/17/2018 08:15PM ET,SEA,0
TE,Will Dissly (11268720),Will Dissly,11268720,FLEX,4800,SEA@CHI 09/17/2018 08:15PM ET,SEA,22.5
K,Sebastian Janikowski (11268767),Sebastian Janikowski,11268767,CPT,4800,SEA@CHI 09/17/2018 08:15PM ET,SEA,6
WR,Anthony Miller (11268721),Anthony Miller,11268721,FLEX,4600,SEA@CHI 09/17/2018 08:15PM ET,CHI,3.4
DST,Bears  (11268722),Bears ,11268722,FLEX,4000,SEA@CHI 09/17/2018 08:15PM ET,CHI,14
WR,Jaron Brown (11268723),Jaron Brown,11268723,FLEX,3800,SEA@CHI 09/17/2018 08:15PM ET,SEA,1.7
K,Cody Parkey (11268724),Cody Parkey,11268724,FLEX,3600,SEA@CHI 09/17/2018 08:15PM ET,CHI,11
DST,Seahawks  (11268725),Seahawks ,11268725,FLEX,3400,SEA@CHI 09/17/2018 08:15PM ET,SEA,7
TE,Nick Vannett (11268768),Nick Vannett,11268768,CPT,3300,SEA@CHI 09/17/2018 08:15PM ET,SEA,2.1
K,Sebastian Janikowski (11268726),Sebastian Janikowski,11268726,FLEX,3200,SEA@CHI 09/17/2018 08:15PM ET,SEA,6
WR,Kevin White (11268769),Kevin White,11268769,CPT,2400,SEA@CHI 09/17/2018 08:15PM ET,CHI,0
TE,Nick Vannett (11268727),Nick Vannett,11268727,FLEX,2200,SEA@CHI 09/17/2018 08:15PM ET,SEA,2.1
WR,Kevin White (11268728),Kevin White,11268728,FLEX,1600,SEA@CHI 09/17/2018 08:15PM ET,CHI,0
RB,Mike Davis (11268770),Mike Davis,11268770,CPT,1500,SEA@CHI 09/17/2018 08:15PM ET,SEA,0
TE,Dion Sims (11268771),Dion Sims,11268771,CPT,1200,SEA@CHI 09/17/2018 08:15PM ET,CHI,2.9
RB,Mike Davis (11268729),Mike Davis,11268729,FLEX,1000,SEA@CHI 09/17/2018 08:15PM ET,SEA,0
RB,Benny Cunningham (11268772),Benny Cunningham,11268772,CPT,900,SEA@CHI 09/17/2018 08:15PM ET,CHI,0
RB,C.J. Prosise (11268773),C.J. Prosise,11268773,CPT,900,SEA@CHI 09/17/2018 08:15PM ET,SEA,0
TE,Dion Sims (11268730),Dion Sims,11268730,FLEX,800,SEA@CHI 09/17/2018 08:15PM ET,CHI,2.9
