Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Alvin Kamara (11239044),Alvin Kamara,11239044,RB/FLEX,9500,CLE@NO 09/16/2018 01:00PM ET,NO,46.1
RB,Todd Gurley II (11239046),Todd Gurley II,11239046,RB/FLEX,9200,ARI@LAR 09/16/2018 04:05PM ET,LAR,26.7
RB,Le'Veon Bell (11239048),Le'Veon Bell,11239048,RB/FLEX,9000,KC@PIT 09/16/2018 01:00PM ET,PIT,0
WR,Antonio Brown (11239276),Antonio Brown,11239276,WR/FLEX,8800,KC@PIT 09/16/2018 01:00PM ET,PIT,24.3
WR,Michael Thomas (11239278),Michael Thomas,11239278,WR/FLEX,8600,CLE@NO 09/16/2018 01:00PM ET,NO,42
WR,Julio Jones (11239280),Julio Jones,11239280,WR/FLEX,8400,CAR@ATL 09/16/2018 01:00PM ET,ATL,31
RB,David Johnson (11239050),David Johnson,11239050,RB/FLEX,8200,ARI@LAR 09/16/2018 04:05PM ET,ARI,17.7
WR,DeAndre Hopkins (11239282),DeAndre Hopkins,11239282,WR/FLEX,8000,HOU@TEN 09/16/2018 01:00PM ET,HOU,15.1
WR,Keenan Allen (11239284),Keenan Allen,11239284,WR/FLEX,7800,LAC@BUF 09/16/2018 01:00PM ET,LAC,27.8
WR,Tyreek Hill (11239286),Tyreek Hill,11239286,WR/FLEX,7600,KC@PIT 09/16/2018 01:00PM ET,KC,45.3
RB,Melvin Gordon III (11239052),Melvin Gordon III,11239052,RB/FLEX,7400,LAC@BUF 09/16/2018 01:00PM ET,LAC,30.6
WR,Mike Evans (11239288),Mike Evans,11239288,WR/FLEX,7300,PHI@TB 09/16/2018 01:00PM ET,TB,30.7
QB,Drew Brees (11238979),Drew Brees,11238979,QB,7200,CLE@NO 09/16/2018 01:00PM ET,NO,34.56
WR,Adam Thielen (11239290),Adam Thielen,11239290,WR/FLEX,7100,MIN@GB 09/16/2018 01:00PM ET,MIN,19.2
RB,Christian McCaffrey (11239054),Christian McCaffrey,11239054,RB/FLEX,7000,CAR@ATL 09/16/2018 01:00PM ET,CAR,14.5
TE,Rob Gronkowski (11239604),Rob Gronkowski,11239604,TE/FLEX,7000,NE@JAX 09/16/2018 04:25PM ET,NE,27.3
QB,Ben Roethlisberger (11238980),Ben Roethlisberger,11238980,QB,6900,KC@PIT 09/16/2018 01:00PM ET,PIT,17
WR,Stefon Diggs (11239292),Stefon Diggs,11239292,WR/FLEX,6900,MIN@GB 09/16/2018 01:00PM ET,MIN,14.1
QB,Aaron Rodgers (11238981),Aaron Rodgers,11238981,QB,6800,MIN@GB 09/16/2018 01:00PM ET,GB,24.94
WR,Davante Adams (11239294),Davante Adams,11239294,WR/FLEX,6800,MIN@GB 09/16/2018 01:00PM ET,GB,19.8
RB,Leonard Fournette (11239056),Leonard Fournette,11239056,RB/FLEX,6800,NE@JAX 09/16/2018 04:25PM ET,JAX,8.5
WR,T.Y. Hilton (11239296),T.Y. Hilton,11239296,WR/FLEX,6700,IND@WAS 09/16/2018 01:00PM ET,IND,15.6
RB,James Conner (11239058),James Conner,11239058,RB/FLEX,6700,KC@PIT 09/16/2018 01:00PM ET,PIT,38.2
QB,Philip Rivers (11238982),Philip Rivers,11238982,QB,6700,LAC@BUF 09/16/2018 01:00PM ET,LAC,32.96
QB,Cam Newton (11238983),Cam Newton,11238983,QB,6600,CAR@ATL 09/16/2018 01:00PM ET,CAR,18.24
WR,Amari Cooper (11239298),Amari Cooper,11239298,WR/FLEX,6600,OAK@DEN 09/16/2018 04:25PM ET,OAK,2.8
RB,Dalvin Cook (11239060),Dalvin Cook,11239060,RB/FLEX,6500,MIN@GB 09/16/2018 01:00PM ET,MIN,14.5
WR,Golden Tate (11239300),Golden Tate,11239300,WR/FLEX,6500,DET@SF 09/16/2018 04:05PM ET,DET,20.9
QB,Tom Brady (11238984),Tom Brady,11238984,QB,6500,NE@JAX 09/16/2018 04:25PM ET,NE,22.28
QB,Carson Wentz (11238986),Carson Wentz,11238986,QB,6400,PHI@TB 09/16/2018 01:00PM ET,PHI,0
