Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Will Grier (11344528),Will Grier,11344528,QB/S-FLEX,10900,WVU@TTU 09/29/2018 12:00PM ET,WVU,35.33
QB,Kyler Murray (11344973),Kyler Murray,11344973,QB/S-FLEX,10700,BAY@OU 09/29/2018 03:30PM ET,OU,32.78
QB,McKenzie Milton (11345519),McKenzie Milton,11345519,QB/S-FLEX,10500,PITT@UCF 09/29/2018 03:30PM ET,UCF,35.83
QB,Alan Bowman (11344641),Alan Bowman,11344641,QB/S-FLEX,10000,WVU@TTU 09/29/2018 12:00PM ET,TTU,26.37
QB,Taylor Cornelius (11344213),Taylor Cornelius,11344213,QB/S-FLEX,9500,OKST@KU 09/29/2018 12:00PM ET,OKST,25.89
QB,Kellen Mond (11343979),Kellen Mond,11343979,QB/S-FLEX,9200,ARK@TA&M 09/29/2018 12:00PM ET,TA&M,28.48
RB,Justice Hill (11344225),Justice Hill,11344225,RB/FLEX/S-FLEX,9100,OKST@KU 09/29/2018 12:00PM ET,OKST,21.22
QB,Tua Tagovailoa (11343778),Tua Tagovailoa,11343778,QB/S-FLEX,9000,ULL@BAMA 09/29/2018 12:00PM ET,BAMA,28.66
QB,Hayden Kingston (11345521),Hayden Kingston,11345521,QB/S-FLEX,9000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
QB,McLane Carter (11344643),McLane Carter,11344643,QB/S-FLEX,8900,WVU@TTU 09/29/2018 12:00PM ET,TTU,3.26
WR,David Sills V (11344566),David Sills V,11344566,WR/FLEX/S-FLEX,8800,WVU@TTU 09/29/2018 12:00PM ET,WVU,25.53
QB,Trevor Lawrence (11344323),Trevor Lawrence,11344323,QB/S-FLEX,8500,SYR@CLEM 09/29/2018 12:00PM ET,CLEM,15.1
QB,Nick Starkel (11343981),Nick Starkel,11343981,QB/S-FLEX,8400,ARK@TA&M 09/29/2018 12:00PM ET,TA&M,2.29
WR,Tylan Wallace (11344249),Tylan Wallace,11344249,WR/FLEX/S-FLEX,8400,OKST@KU 09/29/2018 12:00PM ET,OKST,22.3
QB,Jack Allison (11344530),Jack Allison,11344530,QB/S-FLEX,8400,WVU@TTU 09/29/2018 12:00PM ET,WVU,-0.42
