Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Kyler Murray (11363323),Kyler Murray,11363323,QB/S-FLEX,10700,BAY@OU 09/29/2018 03:30PM ET,OU,32.78
QB,McKenzie Milton (11363559),McKenzie Milton,11363559,QB/S-FLEX,10500,PITT@UCF 09/29/2018 03:30PM ET,UCF,35.83
QB,Hayden Kingston (11363502),Hayden Kingston,11363502,QB/S-FLEX,9000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Rondale Moore (11364242),Rondale Moore,11364242,WR/FLEX/S-FLEX,8200,PUR@NEB 09/29/2018 03:30PM ET,PUR,30.35
QB,Sam Ehlinger (11363618),Sam Ehlinger,11363618,QB/S-FLEX,8100,UT@KSU 09/29/2018 03:30PM ET,UT,25.23
QB,Austin Kendall (11363436),Austin Kendall,11363436,QB/S-FLEX,8000,BAY@OU 09/29/2018 03:30PM ET,OU,7.52
QB,Jake Fromm (11363613),Jake Fromm,11363613,QB/S-FLEX,7800,TENN@UGA 09/29/2018 03:30PM ET,UGA,15.69
WR,Marquise Brown (11363623),Marquise Brown,11363623,WR/FLEX/S-FLEX,7700,BAY@OU 09/29/2018 03:30PM ET,OU,28.07
WR,Collin Johnson (11363421),Collin Johnson,11363421,WR/FLEX/S-FLEX,7600,UT@KSU 09/29/2018 03:30PM ET,UT,16.22
QB,David Blough (11363191),David Blough,11363191,QB/S-FLEX,7600,PUR@NEB 09/29/2018 03:30PM ET,PUR,18.32
WR,Gabriel Davis (11363676),Gabriel Davis,11363676,WR/FLEX/S-FLEX,7500,PITT@UCF 09/29/2018 03:30PM ET,UCF,21.73
QB,Adrian Martinez (11363991),Adrian Martinez,11363991,QB/S-FLEX,7300,PUR@NEB 09/29/2018 03:30PM ET,NEB,17.38
RB,Trey Sermon (11363638),Trey Sermon,11363638,RB/FLEX/S-FLEX,7200,BAY@OU 09/29/2018 03:30PM ET,OU,11.22
QB,Shane Buechele (11363419),Shane Buechele,11363419,QB/S-FLEX,7100,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,CeeDee Lamb (11363791),CeeDee Lamb,11363791,WR/FLEX/S-FLEX,6800,BAY@OU 09/29/2018 03:30PM ET,OU,16.92
RB,Qadree Ollison (11363206),Qadree Ollison,11363206,RB/FLEX/S-FLEX,6600,PITT@UCF 09/29/2018 03:30PM ET,PITT,16.65
QB,Kenny Pickett (11363689),Kenny Pickett,11363689,QB/S-FLEX,6600,PITT@UCF 09/29/2018 03:30PM ET,PITT,14.68
WR,Mecole Hardman (11363481),Mecole Hardman,11363481,WR/FLEX/S-FLEX,6500,TENN@UGA 09/29/2018 03:30PM ET,UGA,18.82
QB,Justin Fields (11364018),Justin Fields,11364018,QB/S-FLEX,6500,TENN@UGA 09/29/2018 03:30PM ET,UGA,6.67
QB,Elijah Sindelar (11363275),Elijah Sindelar,11363275,QB/S-FLEX,6300,PUR@NEB 09/29/2018 03:30PM ET,PUR,8.11
RB,Elijah Holyfield (11363487),Elijah Holyfield,11363487,RB/FLEX/S-FLEX,6200,TENN@UGA 09/29/2018 03:30PM ET,UGA,11.85
WR,Dredrick Snelson (11363561),Dredrick Snelson,11363561,WR/FLEX/S-FLEX,6200,PITT@UCF 09/29/2018 03:30PM ET,UCF,13.57
RB,Adrian Killins Jr. (11363553),Adrian Killins Jr.,11363553,RB/FLEX/S-FLEX,6100,PITT@UCF 09/29/2018 03:30PM ET,UCF,15.07
QB,Tanner Schafer (11363510),Tanner Schafer,11363510,QB/S-FLEX,6000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Lil'Jordan Humphrey (11363455),Lil'Jordan Humphrey,11363455,WR/FLEX/S-FLEX,6000,UT@KSU 09/29/2018 03:30PM ET,UT,19.8
QB,Andrew Bunch (11363656),Andrew Bunch,11363656,QB/S-FLEX,6000,PUR@NEB 09/29/2018 03:30PM ET,NEB,6.93
QB,Charlie Brewer (11363702),Charlie Brewer,11363702,QB/S-FLEX,5900,BAY@OU 09/29/2018 03:30PM ET,BAY,22.42
WR,Stanley Morgan Jr. (11363263),Stanley Morgan Jr.,11363263,WR/FLEX/S-FLEX,5900,PUR@NEB 09/29/2018 03:30PM ET,NEB,13
RB,Tre Watson (11363215),Tre Watson,11363215,RB/FLEX/S-FLEX,5800,UT@KSU 09/29/2018 03:30PM ET,UT,11.4
WR,Isaiah Zuber (11363333),Isaiah Zuber,11363333,WR/FLEX/S-FLEX,5800,UT@KSU 09/29/2018 03:30PM ET,KSU,22.4
RB,D'Andre Swift (11363899),D'Andre Swift,11363899,RB/FLEX/S-FLEX,5700,TENN@UGA 09/29/2018 03:30PM ET,UGA,9.95
QB,Ricky Town (11363956),Ricky Town,11363956,QB/S-FLEX,5700,PITT@UCF 09/29/2018 03:30PM ET,PITT,0.6
WR,Jalen Hurd (11363173),Jalen Hurd,11363173,WR/FLEX/S-FLEX,5600,BAY@OU 09/29/2018 03:30PM ET,BAY,17.8
WR,Riley Ridley (11363446),Riley Ridley,11363446,WR/FLEX/S-FLEX,5500,TENN@UGA 09/29/2018 03:30PM ET,UGA,11.98
WR,Tre Nixon (11363564),Tre Nixon,11363564,WR/FLEX/S-FLEX,5400,PITT@UCF 09/29/2018 03:30PM ET,UCF,14.9
QB,Skylar Thompson (11363441),Skylar Thompson,11363441,QB/S-FLEX,5300,UT@KSU 09/29/2018 03:30PM ET,KSU,14.45
RB,D.J. Knox (11363201),D.J. Knox,11363201,RB/FLEX/S-FLEX,5200,PUR@NEB 09/29/2018 03:30PM ET,PUR,14.05
RB,Otis Anderson (11363673),Otis Anderson,11363673,RB/FLEX/S-FLEX,5100,PITT@UCF 09/29/2018 03:30PM ET,UCF,10.67
QB,Jalan McClendon (11363204),Jalan McClendon,11363204,QB/S-FLEX,5000,BAY@OU 09/29/2018 03:30PM ET,BAY,7.23
WR,Denzel Mims (11363541),Denzel Mims,11363541,WR/FLEX/S-FLEX,5000,BAY@OU 09/29/2018 03:30PM ET,BAY,15.5
RB,Marcelias Sutton (11363641),Marcelias Sutton,11363641,RB/FLEX/S-FLEX,5000,BAY@OU 09/29/2018 03:30PM ET,OU,8.2
QB,Alex Delton (11363295),Alex Delton,11363295,QB/S-FLEX,5000,UT@KSU 09/29/2018 03:30PM ET,KSU,5.74
WR,JD Spielman (11363430),JD Spielman,11363430,WR/FLEX/S-FLEX,5000,PUR@NEB 09/29/2018 03:30PM ET,NEB,12.4
RB,Alex Barnes (11363292),Alex Barnes,11363292,RB/FLEX/S-FLEX,4900,UT@KSU 09/29/2018 03:30PM ET,KSU,12.55
RB,Maurice Washington (11364051),Maurice Washington,11364051,RB/FLEX/S-FLEX,4900,PUR@NEB 09/29/2018 03:30PM ET,NEB,7.13
RB,John Lovett (11363859),John Lovett,11363859,RB/FLEX/S-FLEX,4800,BAY@OU 09/29/2018 03:30PM ET,BAY,10.92
RB,Keaontay Ingram (11364129),Keaontay Ingram,11364129,RB/FLEX/S-FLEX,4700,UT@KSU 09/29/2018 03:30PM ET,UT,10.7
QB,Keller Chryst (11363196),Keller Chryst,11363196,QB/S-FLEX,4600,TENN@UGA 09/29/2018 03:30PM ET,TENN,3.64
QB,Jarrett Guarantano (11363470),Jarrett Guarantano,11363470,QB/S-FLEX,4600,TENN@UGA 09/29/2018 03:30PM ET,TENN,7.68
WR,Chris Platt (11363227),Chris Platt,11363227,WR/FLEX/S-FLEX,4600,BAY@OU 09/29/2018 03:30PM ET,BAY,8.95
RB,Darrin Hall (11363317),Darrin Hall,11363317,RB/FLEX/S-FLEX,4600,PITT@UCF 09/29/2018 03:30PM ET,PITT,8
RB,Greg Bell (11363961),Greg Bell,11363961,RB/FLEX/S-FLEX,4600,PUR@NEB 09/29/2018 03:30PM ET,NEB,7.67
QB,Zac Jancek (11363306),Zac Jancek,11363306,QB/S-FLEX,4500,TENN@UGA 09/29/2018 03:30PM ET,TENN,0
QB,Will McBride (11363611),Will McBride,11363611,QB/S-FLEX,4500,TENN@UGA 09/29/2018 03:30PM ET,TENN,0
QB,John Seter (11363897),John Seter,11363897,QB/S-FLEX,4500,TENN@UGA 09/29/2018 03:30PM ET,UGA,0
QB,JT Shrout (11364092),JT Shrout,11364092,QB/S-FLEX,4500,TENN@UGA 09/29/2018 03:30PM ET,TENN,0
QB,Matthew Downing (11364254),Matthew Downing,11364254,QB/S-FLEX,4500,TENN@UGA 09/29/2018 03:30PM ET,UGA,0.16
QB,Mason Wood (11364271),Mason Wood,11364271,QB/S-FLEX,4500,TENN@UGA 09/29/2018 03:30PM ET,UGA,0
QB,Reece Clark (11363348),Reece Clark,11363348,QB/S-FLEX,4500,BAY@OU 09/29/2018 03:30PM ET,OU,0
QB,Connor McGinnis (11363350),Connor McGinnis,11363350,QB/S-FLEX,4500,BAY@OU 09/29/2018 03:30PM ET,OU,0
QB,Zack Bennema (11363381),Zack Bennema,11363381,QB/S-FLEX,4500,BAY@OU 09/29/2018 03:30PM ET,BAY,0
QB,Preston Heard (11363539),Preston Heard,11363539,QB/S-FLEX,4500,BAY@OU 09/29/2018 03:30PM ET,BAY,0
QB,Garret McGuire (11363862),Garret McGuire,11363862,QB/S-FLEX,4500,BAY@OU 09/29/2018 03:30PM ET,BAY,0.2
QB,Gerry Bohanon (11364004),Gerry Bohanon,11364004,QB/S-FLEX,4500,BAY@OU 09/29/2018 03:30PM ET,BAY,0
QB,Tanner Mordecai (11364118),Tanner Mordecai,11364118,QB/S-FLEX,4500,BAY@OU 09/29/2018 03:30PM ET,OU,0.74
QB,Brandon Bass (11364166),Brandon Bass,11364166,QB/S-FLEX,4500,BAY@OU 09/29/2018 03:30PM ET,BAY,0
QB,Preston Weeks (11364180),Preston Weeks,11364180,QB/S-FLEX,4500,BAY@OU 09/29/2018 03:30PM ET,BAY,0
QB,Hunter Hall (11363328),Hunter Hall,11363328,QB/S-FLEX,4500,UT@KSU 09/29/2018 03:30PM ET,KSU,0
QB,Nick Ast (11363797),Nick Ast,11363797,QB/S-FLEX,4500,UT@KSU 09/29/2018 03:30PM ET,KSU,0
QB,Ryan Henington (11363802),Ryan Henington,11363802,QB/S-FLEX,4500,UT@KSU 09/29/2018 03:30PM ET,KSU,0
QB,Cameron Rising (11363944),Cameron Rising,11363944,QB/S-FLEX,4500,UT@KSU 09/29/2018 03:30PM ET,UT,0
QB,Casey Thompson (11363946),Casey Thompson,11363946,QB/S-FLEX,4500,UT@KSU 09/29/2018 03:30PM ET,UT,0
QB,Samuel Wheeler (11364035),Samuel Wheeler,11364035,QB/S-FLEX,4500,UT@KSU 09/29/2018 03:30PM ET,KSU,0
QB,Tremayne Prudhomme (11364138),Tremayne Prudhomme,11364138,QB/S-FLEX,4500,UT@KSU 09/29/2018 03:30PM ET,UT,0
QB,John Holcombe II (11364194),John Holcombe II,11364194,QB/S-FLEX,4500,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Rafael Araujo-Lopes (11363300),Rafael Araujo-Lopes,11363300,WR/FLEX/S-FLEX,4500,PITT@UCF 09/29/2018 03:30PM ET,PITT,8.75
QB,Darriel Mack Jr. (11363679),Darriel Mack Jr.,11363679,QB/S-FLEX,4500,PITT@UCF 09/29/2018 03:30PM ET,UCF,8.89
QB,Jake Zilinskas (11363691),Jake Zilinskas,11363691,QB/S-FLEX,4500,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
QB,Tyler Zelinski (11364049),Tyler Zelinski,11364049,QB/S-FLEX,4500,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
