Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Dwayne Haskins (11356339),Dwayne Haskins,11356339,QB/S-FLEX,10200,OSU@PSU 09/29/2018 07:30PM ET,OSU,32.14
QB,Trace McSorley (11356448),Trace McSorley,11356448,QB/S-FLEX,9700,OSU@PSU 09/29/2018 07:30PM ET,PSU,30.00
RB,Benny Snell (11355933),Benny Snell,11355933,RB/FLEX/S-FLEX,8800,SCAR@UK 09/29/2018 07:30PM ET,UK,28.80
QB,Tommy Stevens (11356450),Tommy Stevens,11356450,QB/S-FLEX,8700,OSU@PSU 09/29/2018 07:30PM ET,PSU,0
QB,Tate Martell (11356341),Tate Martell,11356341,QB/S-FLEX,8600,OSU@PSU 09/29/2018 07:30PM ET,OSU,12.95
QB,Ian Book (11356234),Ian Book,11356234,QB/S-FLEX,8500,STAN@ND 09/29/2018 07:30PM ET,ND,25.26
RB,Miles Sanders (11356460),Miles Sanders,11356460,RB/FLEX/S-FLEX,8400,OSU@PSU 09/29/2018 07:30PM ET,PSU,24.52
QB,Brett Rypien (11355826),Brett Rypien,11355826,QB/S-FLEX,8300,BSU@WYO 09/29/2018 07:00PM ET,BSU,29.56
RB,Myles Gaskin (11356560),Myles Gaskin,11356560,RB/FLEX/S-FLEX,8200,BYU@UW 09/29/2018 08:30PM ET,UW,14.78
RB,Bryce Love (11356148),Bryce Love,11356148,RB/FLEX/S-FLEX,8000,STAN@ND 09/29/2018 07:30PM ET,STAN,15.7
QB,Sean Clifford (11356452),Sean Clifford,11356452,QB/S-FLEX,8000,OSU@PSU 09/29/2018 07:30PM ET,PSU,5.3
QB,Shawn Robinson (11355392),Shawn Robinson,11355392,QB/S-FLEX,7700,ISU@TCU 09/29/2018 07:00PM ET,TCU,22.31
WR,JJ Arcega-Whiteside (11356178),JJ Arcega-Whiteside,11356178,WR/FLEX/S-FLEX,7500,STAN@ND 09/29/2018 07:30PM ET,STAN,26.2
QB,Jake Browning (11356550),Jake Browning,11356550,QB/S-FLEX,7500,BYU@UW 09/29/2018 08:30PM ET,UW,17.54
QB,Chase Cord (11355828),Chase Cord,11355828,QB/S-FLEX,7300,BSU@WYO 09/29/2018 07:00PM ET,BSU,10.37
WR,Parris Campbell (11356379),Parris Campbell,11356379,WR/FLEX/S-FLEX,7200,OSU@PSU 09/29/2018 07:30PM ET,OSU,20.28
QB,Brandon Wimbush (11356232),Brandon Wimbush,11356232,QB/S-FLEX,7100,STAN@ND 09/29/2018 07:30PM ET,ND,14.39
