Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Manny Wilkins (11364642),Manny Wilkins,11364642,QB/S-FLEX,9600,ORST@ASU 09/29/2018 10:00PM ET,ASU,23.92
QB,Khalil Tate (11364454),Khalil Tate,11364454,QB/S-FLEX,9000,USC@ARIZ 09/29/2018 10:30PM ET,ARIZ,23.16
QB,Justin Herbert (11364945),Justin Herbert,11364945,QB/S-FLEX,8800,ORE@CAL 09/29/2018 10:30PM ET,ORE,28.51
WR,N'Keal Harry (11364677),N'Keal Harry,11364677,WR/FLEX/S-FLEX,8500,ORST@ASU 09/29/2018 10:00PM ET,ASU,21.68
RB,J.J. Taylor (11364468),J.J. Taylor,11364468,RB/FLEX/S-FLEX,8400,USC@ARIZ 09/29/2018 10:30PM ET,ARIZ,20.1
QB,Dillon Sterling-Cole (11364644),Dillon Sterling-Cole,11364644,QB/S-FLEX,8200,ORST@ASU 09/29/2018 10:00PM ET,ASU,2.2
QB,K'hari Lane (11364456),K'hari Lane,11364456,QB/S-FLEX,8000,USC@ARIZ 09/29/2018 10:30PM ET,ARIZ,0
RB,Eno Benjamin (11364656),Eno Benjamin,11364656,RB/FLEX/S-FLEX,8000,ORST@ASU 09/29/2018 10:00PM ET,ASU,20.75
QB,Marcus McMaryion (11365139),Marcus McMaryion,11365139,QB/S-FLEX,7500,TOL@FRES 09/29/2018 10:30PM ET,FRES,21.59
QB,JT Daniels (11364549),JT Daniels,11364549,QB/S-FLEX,7200,USC@ARIZ 09/29/2018 10:30PM ET,USC,13.35
WR,KeeSean Johnson (11365170),KeeSean Johnson,11365170,WR/FLEX/S-FLEX,7200,TOL@FRES 09/29/2018 10:30PM ET,FRES,19.3
QB,Braxton Burmeister (11364947),Braxton Burmeister,11364947,QB/S-FLEX,7100,ORE@CAL 09/29/2018 10:30PM ET,ORE,1.39
WR,Amon-Ra St. Brown (11364585),Amon-Ra St. Brown,11364585,WR/FLEX/S-FLEX,6900,USC@ARIZ 09/29/2018 10:30PM ET,USC,17.52
RB,Patrick Laird (11364849),Patrick Laird,11364849,RB/FLEX/S-FLEX,6800,ORE@CAL 09/29/2018 10:30PM ET,CAL,18.43
QB,Chase Garbers (11364839),Chase Garbers,11364839,QB/S-FLEX,6600,ORE@CAL 09/29/2018 10:30PM ET,CAL,17.52
RB,CJ Verdell (11364955),CJ Verdell,11364955,RB/FLEX/S-FLEX,6500,ORE@CAL 09/29/2018 10:30PM ET,ORE,15.95
QB,Jorge Reyna (11365141),Jorge Reyna,11365141,QB/S-FLEX,6500,TOL@FRES 09/29/2018 10:30PM ET,FRES,4.34
WR,Shawn Poindexter (11364489),Shawn Poindexter,11364489,WR/FLEX/S-FLEX,6200,USC@ARIZ 09/29/2018 10:30PM ET,ARIZ,16.98
QB,Mitchell Guadagni (11365051),Mitchell Guadagni,11365051,QB/S-FLEX,6200,TOL@FRES 09/29/2018 10:30PM ET,TOL,32.57
RB,Jermar Jefferson (11364758),Jermar Jefferson,11364758,RB/FLEX/S-FLEX,6100,ORST@ASU 09/29/2018 10:00PM ET,ORST,25.9
QB,Matt Fink (11364551),Matt Fink,11364551,QB/S-FLEX,6000,USC@ARIZ 09/29/2018 10:30PM ET,USC,0.21
QB,Jack Sears (11364553),Jack Sears,11364553,QB/S-FLEX,6000,USC@ARIZ 09/29/2018 10:30PM ET,USC,0
QB,Ross Bowers (11364841),Ross Bowers,11364841,QB/S-FLEX,5900,ORE@CAL 09/29/2018 10:30PM ET,CAL,1.54
WR,Dillon Mitchell (11364976),Dillon Mitchell,11364976,WR/FLEX/S-FLEX,5900,ORE@CAL 09/29/2018 10:30PM ET,ORE,15.68
WR,Shun Brown (11364492),Shun Brown,11364492,WR/FLEX/S-FLEX,5800,USC@ARIZ 09/29/2018 10:30PM ET,ARIZ,15.5
RB,Jordan Mims (11365149),Jordan Mims,11365149,RB/FLEX/S-FLEX,5700,TOL@FRES 09/29/2018 10:30PM ET,FRES,16.1
WR,Tyler Vaughns (11364588),Tyler Vaughns,11364588,WR/FLEX/S-FLEX,5600,USC@ARIZ 09/29/2018 10:30PM ET,USC,12.78
WR,Tony Ellison (11364495),Tony Ellison,11364495,WR/FLEX/S-FLEX,5500,USC@ARIZ 09/29/2018 10:30PM ET,ARIZ,17.03
WR,Kyle Williams (11364680),Kyle Williams,11364680,WR/FLEX/S-FLEX,5400,ORST@ASU 09/29/2018 10:00PM ET,ASU,8.52
