Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,OPKR
QB,Tyrod Taylor (11291517),Tyrod Taylor,11291517,CPT,16500,NYJ@CLE 09/20/2018 08:20PM ET,CLE,20.01,4
WR,Jarvis Landry (11291518),Jarvis Landry,11291518,CPT,16200,NYJ@CLE 09/20/2018 08:20PM ET,CLE,16.25,19
QB,Sam Darnold (11291519),Sam Darnold,11291519,CPT,15000,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,16.64,6
WR,Quincy Enunwa (11291520),Quincy Enunwa,11291520,CPT,14700,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,17.25,18
RB,Bilal Powell (11291521),Bilal Powell,11291521,CPT,12300,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,13.25,23
RB,Carlos Hyde (11291522),Carlos Hyde,11291522,CPT,12000,NYJ@CLE 09/20/2018 08:20PM ET,CLE,12.75,7
WR,Robby Anderson (11291523),Robby Anderson,11291523,CPT,11700,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,7.45,18
QB,Tyrod Taylor (11291480),Tyrod Taylor,11291480,FLEX,11000,NYJ@CLE 09/20/2018 08:20PM ET,CLE,20.01,4
WR,Jarvis Landry (11291481),Jarvis Landry,11291481,FLEX,10800,NYJ@CLE 09/20/2018 08:20PM ET,CLE,16.25,19
RB,Isaiah Crowell (11291524),Isaiah Crowell,11291524,CPT,10800,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,15.55,23
QB,Baker Mayfield (11291525),Baker Mayfield,11291525,CPT,10200,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,4
QB,Josh McCown (11291526),Josh McCown,11291526,CPT,10200,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,0,4
QB,Sam Darnold (11291482),Sam Darnold,11291482,FLEX,10000,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,16.64,6
WR,Antonio Callaway (11291527),Antonio Callaway,11291527,CPT,9900,NYJ@CLE 09/20/2018 08:20PM ET,CLE,8.9,19
WR,Quincy Enunwa (11291483),Quincy Enunwa,11291483,FLEX,9800,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,17.25,18
QB,Drew Stanton (11291528),Drew Stanton,11291528,CPT,9000,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,4
RB,Duke Johnson Jr. (11291529),Duke Johnson Jr.,11291529,CPT,8400,NYJ@CLE 09/20/2018 08:20PM ET,CLE,3.25,7
RB,Bilal Powell (11291484),Bilal Powell,11291484,FLEX,8200,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,13.25,23
RB,Carlos Hyde (11291485),Carlos Hyde,11291485,FLEX,8000,NYJ@CLE 09/20/2018 08:20PM ET,CLE,12.75,7
WR,Robby Anderson (11291486),Robby Anderson,11291486,FLEX,7800,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,7.45,18
RB,Isaiah Crowell (11291487),Isaiah Crowell,11291487,FLEX,7200,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,15.55,23
TE,David Njoku (11291530),David Njoku,11291530,CPT,6900,NYJ@CLE 09/20/2018 08:20PM ET,CLE,5.15,3
QB,Baker Mayfield (11291488),Baker Mayfield,11291488,FLEX,6800,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,4
QB,Josh McCown (11291489),Josh McCown,11291489,FLEX,6800,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,0,4
