Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Tom Brady (11319050),Tom Brady,11319050,CPT,17700,NE@DET 09/23/2018 08:20PM ET,NE,19.82
QB,Matthew Stafford (11319051),Matthew Stafford,11319051,CPT,15900,NE@DET 09/23/2018 08:20PM ET,DET,20.36
TE,Rob Gronkowski (11319052),Rob Gronkowski,11319052,CPT,15600,NE@DET 09/23/2018 08:20PM ET,NE,15.4
WR,Golden Tate (11319053),Golden Tate,11319053,CPT,12900,NE@DET 09/23/2018 08:20PM ET,DET,21.35
WR,Kenny Golladay (11319054),Kenny Golladay,11319054,CPT,12000,NE@DET 09/23/2018 08:20PM ET,DET,21.15
QB,Tom Brady (11319013),Tom Brady,11319013,FLEX,11800,NE@DET 09/23/2018 08:20PM ET,NE,19.82
WR,Chris Hogan (11319055),Chris Hogan,11319055,CPT,11400,NE@DET 09/23/2018 08:20PM ET,NE,10.65
QB,Matthew Stafford (11319014),Matthew Stafford,11319014,FLEX,10600,NE@DET 09/23/2018 08:20PM ET,DET,20.36
WR,Marvin Jones Jr. (11319056),Marvin Jones Jr.,11319056,CPT,10500,NE@DET 09/23/2018 08:20PM ET,DET,12.4
TE,Rob Gronkowski (11319015),Rob Gronkowski,11319015,FLEX,10400,NE@DET 09/23/2018 08:20PM ET,NE,15.4
RB,James White (11319057),James White,11319057,CPT,10200,NE@DET 09/23/2018 08:20PM ET,NE,15.5
WR,Josh Gordon (11319058),Josh Gordon,11319058,CPT,9900,NE@DET 09/23/2018 08:20PM ET,NE,8.7
RB,Rex Burkhead (11319059),Rex Burkhead,11319059,CPT,9600,NE@DET 09/23/2018 08:20PM ET,NE,5.05
QB,Brian Hoyer (11319060),Brian Hoyer,11319060,CPT,9300,NE@DET 09/23/2018 08:20PM ET,NE,0
QB,Matt Cassel (11319061),Matt Cassel,11319061,CPT,9000,NE@DET 09/23/2018 08:20PM ET,DET,-0.54
RB,Kerryon Johnson (11319062),Kerryon Johnson,11319062,CPT,8700,NE@DET 09/23/2018 08:20PM ET,DET,9.15
WR,Golden Tate (11319016),Golden Tate,11319016,FLEX,8600,NE@DET 09/23/2018 08:20PM ET,DET,21.35
RB,Sony Michel (11319063),Sony Michel,11319063,CPT,8400,NE@DET 09/23/2018 08:20PM ET,NE,5.1
WR,Kenny Golladay (11319017),Kenny Golladay,11319017,FLEX,8000,NE@DET 09/23/2018 08:20PM ET,DET,21.15
RB,Theo Riddick (11319064),Theo Riddick,11319064,CPT,7800,NE@DET 09/23/2018 08:20PM ET,DET,11.1
WR,Chris Hogan (11319018),Chris Hogan,11319018,FLEX,7600,NE@DET 09/23/2018 08:20PM ET,NE,10.65
WR,Phillip Dorsett (11319065),Phillip Dorsett,11319065,CPT,7500,NE@DET 09/23/2018 08:20PM ET,NE,14.5
WR,Marvin Jones Jr. (11319019),Marvin Jones Jr.,11319019,FLEX,7000,NE@DET 09/23/2018 08:20PM ET,DET,12.4
RB,James White (11319020),James White,11319020,FLEX,6800,NE@DET 09/23/2018 08:20PM ET,NE,15.5
WR,Josh Gordon (11319021),Josh Gordon,11319021,FLEX,6600,NE@DET 09/23/2018 08:20PM ET,NE,8.7
RB,Rex Burkhead (11319022),Rex Burkhead,11319022,FLEX,6400,NE@DET 09/23/2018 08:20PM ET,NE,5.05
QB,Brian Hoyer (11319023),Brian Hoyer,11319023,FLEX,6200,NE@DET 09/23/2018 08:20PM ET,NE,0
QB,Matt Cassel (11319024),Matt Cassel,11319024,FLEX,6000,NE@DET 09/23/2018 08:20PM ET,DET,-0.54
RB,Kerryon Johnson (11319025),Kerryon Johnson,11319025,FLEX,5800,NE@DET 09/23/2018 08:20PM ET,DET,9.15
RB,LeGarrette Blount (11319066),LeGarrette Blount,11319066,CPT,5700,NE@DET 09/23/2018 08:20PM ET,DET,2.1
RB,Sony Michel (11319026),Sony Michel,11319026,FLEX,5600,NE@DET 09/23/2018 08:20PM ET,NE,5.1
RB,Theo Riddick (11319027),Theo Riddick,11319027,FLEX,5200,NE@DET 09/23/2018 08:20PM ET,DET,11.1
DST,Patriots  (11319067),Patriots ,11319067,CPT,5100,NE@DET 09/23/2018 08:20PM ET,NE,5.5
WR,Phillip Dorsett (11319028),Phillip Dorsett,11319028,FLEX,5000,NE@DET 09/23/2018 08:20PM ET,NE,14.5
K,Stephen Gostkowski (11319068),Stephen Gostkowski,11319068,CPT,4800,NE@DET 09/23/2018 08:20PM ET,NE,9
K,Matt Prater (11319069),Matt Prater,11319069,CPT,4500,NE@DET 09/23/2018 08:20PM ET,DET,7.5
WR,Cordarrelle Patterson (11319070),Cordarrelle Patterson,11319070,CPT,4200,NE@DET 09/23/2018 08:20PM ET,NE,4.1
DST,Lions  (11319071),Lions ,11319071,CPT,3900,NE@DET 09/23/2018 08:20PM ET,DET,6.5
RB,LeGarrette Blount (11319029),LeGarrette Blount,11319029,FLEX,3800,NE@DET 09/23/2018 08:20PM ET,DET,2.1
DST,Patriots  (11319030),Patriots ,11319030,FLEX,3400,NE@DET 09/23/2018 08:20PM ET,NE,5.5
K,Stephen Gostkowski (11319031),Stephen Gostkowski,11319031,FLEX,3200,NE@DET 09/23/2018 08:20PM ET,NE,9
K,Matt Prater (11319032),Matt Prater,11319032,FLEX,3000,NE@DET 09/23/2018 08:20PM ET,DET,7.5
WR,Cordarrelle Patterson (11319033),Cordarrelle Patterson,11319033,FLEX,2800,NE@DET 09/23/2018 08:20PM ET,NE,4.1
DST,Lions  (11319034),Lions ,11319034,FLEX,2600,NE@DET 09/23/2018 08:20PM ET,DET,6.5
TE,Luke Willson (11319072),Luke Willson,11319072,CPT,1500,NE@DET 09/23/2018 08:20PM ET,DET,1.15
TE,Michael Roberts (11319073),Michael Roberts,11319073,CPT,1200,NE@DET 09/23/2018 08:20PM ET,DET,4.25
WR,TJ Jones (11319074),TJ Jones,11319074,CPT,1200,NE@DET 09/23/2018 08:20PM ET,DET,0.8
TE,Luke Willson (11319035),Luke Willson,11319035,FLEX,1000,NE@DET 09/23/2018 08:20PM ET,DET,1.15
TE,Jacob Hollister (11319075),Jacob Hollister,11319075,CPT,900,NE@DET 09/23/2018 08:20PM ET,NE,6.5
TE,Dwayne Allen (11319076),Dwayne Allen,11319076,CPT,900,NE@DET 09/23/2018 08:20PM ET,NE,0
TE,Michael Roberts (11319036),Michael Roberts,11319036,FLEX,800,NE@DET 09/23/2018 08:20PM ET,DET,4.25
WR,TJ Jones (11319037),TJ Jones,11319037,FLEX,800,NE@DET 09/23/2018 08:20PM ET,DET,0.8
TE,Jacob Hollister (11319038),Jacob Hollister,11319038,FLEX,600,NE@DET 09/23/2018 08:20PM ET,NE,6.5
TE,Dwayne Allen (11319039),Dwayne Allen,11319039,FLEX,600,NE@DET 09/23/2018 08:20PM ET,NE,0
TE,Levine Toilolo (11319077),Levine Toilolo,11319077,CPT,300,NE@DET 09/23/2018 08:20PM ET,DET,0.85
RB,Ameer Abdullah (11319078),Ameer Abdullah,11319078,CPT,300,NE@DET 09/23/2018 08:20PM ET,DET,0
TE,Hakeem Valles (11319079),Hakeem Valles,11319079,CPT,300,NE@DET 09/23/2018 08:20PM ET,DET,1.5
RB,Nick Bellore (11319080),Nick Bellore,11319080,CPT,300,NE@DET 09/23/2018 08:20PM ET,DET,0
WR,Brandon Powell (11319081),Brandon Powell,11319081,CPT,300,NE@DET 09/23/2018 08:20PM ET,DET,0
RB,James Develin (11319082),James Develin,11319082,CPT,300,NE@DET 09/23/2018 08:20PM ET,NE,3.1
WR,Julian Edelman (11319083),Julian Edelman,11319083,CPT,300,NE@DET 09/23/2018 08:20PM ET,NE,0
WR,Braxton Berrios (11319084),Braxton Berrios,11319084,CPT,300,NE@DET 09/23/2018 08:20PM ET,NE,0
WR,Matthew Slater (11319085),Matthew Slater,11319085,CPT,300,NE@DET 09/23/2018 08:20PM ET,NE,0
WR,Cody Hollister (11319086),Cody Hollister,11319086,CPT,300,NE@DET 09/23/2018 08:20PM ET,NE,0
TE,Levine Toilolo (11319040),Levine Toilolo,11319040,FLEX,200,NE@DET 09/23/2018 08:20PM ET,DET,0.85
RB,Ameer Abdullah (11319041),Ameer Abdullah,11319041,FLEX,200,NE@DET 09/23/2018 08:20PM ET,DET,0
TE,Hakeem Valles (11319042),Hakeem Valles,11319042,FLEX,200,NE@DET 09/23/2018 08:20PM ET,DET,1.5
RB,Nick Bellore (11319043),Nick Bellore,11319043,FLEX,200,NE@DET 09/23/2018 08:20PM ET,DET,0
WR,Brandon Powell (11319044),Brandon Powell,11319044,FLEX,200,NE@DET 09/23/2018 08:20PM ET,DET,0
RB,James Develin (11319045),James Develin,11319045,FLEX,200,NE@DET 09/23/2018 08:20PM ET,NE,3.1
WR,Julian Edelman (11319046),Julian Edelman,11319046,FLEX,200,NE@DET 09/23/2018 08:20PM ET,NE,0
WR,Braxton Berrios (11319047),Braxton Berrios,11319047,FLEX,200,NE@DET 09/23/2018 08:20PM ET,NE,0
WR,Matthew Slater (11319048),Matthew Slater,11319048,FLEX,200,NE@DET 09/23/2018 08:20PM ET,NE,0
WR,Cody Hollister (11319049),Cody Hollister,11319049,FLEX,200,NE@DET 09/23/2018 08:20PM ET,NE,0
