PLAYER	POS	SAL	AVG FPTS	AVG VAL
				
Petr Yan	F	9600	125.5	13.1
Mairbek Taisumov	F	8900	85.5	9.6
Aleksei Oleinik	F	7600	84.2	11.1
Nikita Krylov	F	8200	77.9	9.5
Merab Dvalishvili	F	9200	74.5	8.1
Jordan Johnson	F	8700	71.7	8.2
Rustam Khabilov	F	9500	70.8	7.4
Thiago Alves	F	7200	67.9	9.4
Jan Blachowicz	F	8000	64.7	8.1
CB Dollaway	F	7800	63.3	8.1
Andrei Arlovski	F	7900	61.6	7.8
Ramazan Emeev	F	9300	59.3	6.4
Mark Hunt	F	8600	56.6	6.6
Shamil Abdurakhimov	F	8300	53.3	6.4
Kajan Johnson	F	6700	51.5	7.7
Desmond Green	F	7300	48.8	6.7
Magomed Ankalaev	F	9100	48.5	5.3
Terrion Ware	F	7000	43.2	6.2
Marcin Prachnio	F	7100	7.5	1.1
Adam Yandiev	F	7500	0.0	0.0
