Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Daniel Cormier (11544537),Daniel Cormier,11544537,F,9600,Cormier@Lewis 11/03/2018 06:15PM ET,Cormier,84.17
F,Lyman Good (11544521),Lyman Good,11544521,F,9500,Good@Saunders 11/03/2018 06:15PM ET,Good,76.5
F,Sijara Eubanks (11544539),Sijara Eubanks,11544539,F,9400,Eubanks@Modafferi 11/03/2018 06:15PM ET,Eubanks,83.5
F,David Branch (11544517),David Branch,11544517,F,9300,Branch@Cannonier 11/03/2018 06:15PM ET,Branch,48.71
F,Julio Arce (11544529),Julio Arce,11544529,F,9200,Arce@Moraes 11/03/2018 06:15PM ET,Arce,71.83
F,Israel Adesanya (11544519),Israel Adesanya,11544519,F,9100,Adesanya@Brunson 11/03/2018 06:15PM ET,Adesanya,86.67
F,Shane Burgos (11544531),Shane Burgos,11544531,F,9000,Burgos@Holobaugh 11/03/2018 06:15PM ET,Burgos,85.38
F,Lando Vannata (11544524),Lando Vannata,11544524,F,8900,Frevola@Vannata 11/03/2018 06:15PM ET,Vannata,59.2
F,Jason Knight (11544535),Jason Knight,11544535,F,8800,Knight@Rinaldi 11/03/2018 06:15PM ET,Knight,55.62
F,Karl Roberson (11544527),Karl Roberson,11544527,F,8700,Marshman@Roberson 11/03/2018 06:15PM ET,Roberson,54.25
F,Adam Wieczorek (11544541),Adam Wieczorek,11544541,F,8600,Rogerio de Lima@Wieczorek 11/03/2018 06:15PM ET,Wieczorek,65.25
F,Chris Weidman (11544533),Chris Weidman,11544533,F,8500,Souza@Weidman 11/03/2018 06:15PM ET,Weidman,86.35
F,Montel Jackson (11544525),Montel Jackson,11544525,F,8300,Jackson@Kelleher 11/03/2018 06:15PM ET,Jackson,31
F,Brian Kelleher (11544526),Brian Kelleher,11544526,F,7900,Jackson@Kelleher 11/03/2018 06:15PM ET,Kelleher,65.3
F,Jacare Souza (11544534),Jacare Souza,11544534,F,7700,Souza@Weidman 11/03/2018 06:15PM ET,Souza,83.18
F,Marcos Rogerio de Lima (11544542),Marcos Rogerio de Lima,11544542,F,7600,Rogerio de Lima@Wieczorek 11/03/2018 06:15PM ET,Rogerio de Lima,64.14
F,Jack Marshman (11544528),Jack Marshman,11544528,F,7500,Marshman@Roberson 11/03/2018 06:15PM ET,Marshman,48
F,Jordan Rinaldi (11544536),Jordan Rinaldi,11544536,F,7400,Knight@Rinaldi 11/03/2018 06:15PM ET,Rinaldi,40.5
F,Matt Frevola (11544523),Matt Frevola,11544523,F,7300,Frevola@Vannata 11/03/2018 06:15PM ET,Frevola,4.5
F,Kurt Holobaugh (11544532),Kurt Holobaugh,11544532,F,7200,Burgos@Holobaugh 11/03/2018 06:15PM ET,Holobaugh,40.75
F,Derek Brunson (11544520),Derek Brunson,11544520,F,7100,Adesanya@Brunson 11/03/2018 06:15PM ET,Brunson,75
F,Sheymon Moraes (11544530),Sheymon Moraes,11544530,F,7000,Arce@Moraes 11/03/2018 06:15PM ET,Moraes,39.25
F,Jared Cannonier (11544518),Jared Cannonier,11544518,F,6900,Branch@Cannonier 11/03/2018 06:15PM ET,Cannonier,43.64
F,Roxanne Modafferi (11544540),Roxanne Modafferi,11544540,F,6800,Eubanks@Modafferi 11/03/2018 06:15PM ET,Modafferi,70.83
F,Ben Saunders (11544522),Ben Saunders,11544522,F,6700,Good@Saunders 11/03/2018 06:15PM ET,Saunders,54.56
F,Derrick Lewis (11544538),Derrick Lewis,11544538,F,6600,Cormier@Lewis 11/03/2018 06:15PM ET,Lewis,71.7
