Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Nathaniel Wood (12230425),Nathaniel Wood,12230425,F,9400,Quinonez@Wood 03/16/2019 01:00PM ET,Wood,98.5
F,Dominick Reyes (12230415),Dominick Reyes,12230415,F,9300,Oezdemir@Reyes 03/16/2019 01:00PM ET,Reyes,103.12
F,Darren Till (12230419),Darren Till,12230419,F,9200,Masvidal@Till 03/16/2019 01:00PM ET,Till,59.43
F,Joe Duffy (12230432),Joe Duffy,12230432,F,9100,Diakiese@Duffy 03/16/2019 01:00PM ET,Duffy,69.42
F,Nicolae Negumereanu (12230413),Nicolae Negumereanu,12230413,F,9000,Negumereanu@Safarov 03/16/2019 01:00PM ET,Negumereanu,0
F,Nad Narimani (12230429),Nad Narimani,12230429,F,8900,Grundy@Narimani 03/16/2019 01:00PM ET,Narimani,91.75
F,Jack Marshman (12230407),Jack Marshman,12230407,F,8800,Marshman@Phillips 03/16/2019 01:00PM ET,Marshman,40.5
F,Arnold Allen (12230423),Arnold Allen,12230423,F,8700,Allen@Rinaldi 03/16/2019 01:00PM ET,Allen,69.62
F,Claudio Silva (12230409),Claudio Silva,12230409,F,8600,Roberts@Silva 03/16/2019 01:00PM ET,Silva,93.33
F,Molly McCann (12230411),Molly McCann,12230411,F,8500,Cachoeira@McCann 03/16/2019 01:00PM ET,McCann,5
F,Tom Breese (12230417),Tom Breese,12230417,F,8400,Breese@Heinisch 03/16/2019 01:00PM ET,Breese,85.4
F,Leon Edwards (12230421),Leon Edwards,12230421,F,8300,Edwards@Nelson 03/16/2019 01:00PM ET,Edwards,68.3
F,Dan Ige (12230427),Dan Ige,12230427,F,8200,Henry@Ige 03/16/2019 01:00PM ET,Ige,78.33
F,Danny Henry (12230428),Danny Henry,12230428,F,8000,Henry@Ige 03/16/2019 01:00PM ET,Henry,108.25
F,Gunnar Nelson (12230422),Gunnar Nelson,12230422,F,7900,Edwards@Nelson 03/16/2019 01:00PM ET,Nelson,76.18
F,Ian Heinisch (12230418),Ian Heinisch,12230418,F,7800,Breese@Heinisch 03/16/2019 01:00PM ET,Heinisch,75.5
F,Priscila Cachoeira (12230412),Priscila Cachoeira,12230412,F,7700,Cachoeira@McCann 03/16/2019 01:00PM ET,Cachoeira,1
F,Danny Roberts (12230410),Danny Roberts,12230410,F,7600,Roberts@Silva 03/16/2019 01:00PM ET,Roberts,64.64
F,Jordan Rinaldi (12230424),Jordan Rinaldi,12230424,F,7500,Allen@Rinaldi 03/16/2019 01:00PM ET,Rinaldi,51.38
F,John Phillips (12230408),John Phillips,12230408,F,7400,Marshman@Phillips 03/16/2019 01:00PM ET,Phillips,15.25
F,Mike Grundy (12230430),Mike Grundy,12230430,F,7300,Grundy@Narimani 03/16/2019 01:00PM ET,Grundy,0
F,Saparbeg Safarov (12230414),Saparbeg Safarov,12230414,F,7200,Negumereanu@Safarov 03/16/2019 01:00PM ET,Safarov,17.75
F,Marc Diakiese (12230431),Marc Diakiese,12230431,F,7100,Diakiese@Duffy 03/16/2019 01:00PM ET,Diakiese,58.75
F,Jorge Masvidal (12230420),Jorge Masvidal,12230420,F,7000,Masvidal@Till 03/16/2019 01:00PM ET,Masvidal,69.63
F,Volkan Oezdemir (12230416),Volkan Oezdemir,12230416,F,6900,Oezdemir@Reyes 03/16/2019 01:00PM ET,Oezdemir,67.6
F,Jose Quinonez (12230426),Jose Quinonez,12230426,F,6800,Quinonez@Wood 03/16/2019 01:00PM ET,Quinonez,81.8
