Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Nathaniel Wood (12230425),Nathaniel Wood,12230425,F,9400,Quinonez@Wood 03/16/2019 01:00PM ET,Wood,98.5
F,Dominick Reyes (12230415),Dominick Reyes,12230415,F,9300,Oezdemir@Reyes 03/16/2019 01:00PM ET,Reyes,103.12
F,Joe Duffy (12230432),Joe Duffy,12230432,F,9100,Diakiese@Duffy 03/16/2019 01:00PM ET,Duffy,69.42
F,Claudio Silva (12230409),Claudio Silva,12230409,F,8600,Roberts@Silva 03/16/2019 01:00PM ET,Silva,93.33
F,Molly McCann (12230411),Molly McCann,12230411,F,8500,Cachoeira@McCann 03/16/2019 01:00PM ET,McCann,5
F,Dan Ige (12230427),Dan Ige,12230427,F,8200,Henry@Ige 03/16/2019 01:00PM ET,Ige,78.33
F,John Phillips (12230408),John Phillips,12230408,F,7400,Marshman@Phillips 03/16/2019 01:00PM ET,Phillips,15.25
F,Mike Grundy (12230430),Mike Grundy,12230430,F,7300,Grundy@Narimani 03/16/2019 01:00PM ET,Grundy,0
F,Saparbeg Safarov (12230414),Saparbeg Safarov,12230414,F,7200,Negumereanu@Safarov 03/16/2019 01:00PM ET,Safarov,17.75
F,Jorge Masvidal (12230420),Jorge Masvidal,12230420,F,7000,Masvidal@Till 03/16/2019 01:00PM ET,Masvidal,69.63
