Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Nathaniel Wood (12230425),Nathaniel Wood,12230425,F,9400,Quinonez@Wood 03/16/2019 01:00PM ET,Wood,98.5
F,Dominick Reyes (12230415),Dominick Reyes,12230415,F,9300,Oezdemir@Reyes 03/16/2019 01:00PM ET,Reyes,103.12
F,Jack Marshman (12230407),Jack Marshman,12230407,F,8800,Marshman@Phillips 03/16/2019 01:00PM ET,Marshman,40.5
F,Claudio Silva (12230409),Claudio Silva,12230409,F,8600,Roberts@Silva 03/16/2019 01:00PM ET,Silva,93.33
F,Molly McCann (12230411),Molly McCann,12230411,F,8500,Cachoeira@McCann 03/16/2019 01:00PM ET,McCann,5
F,Leon Edwards (12230421),Leon Edwards,12230421,F,8300,Edwards@Nelson 03/16/2019 01:00PM ET,Edwards,68.3
F,Dan Ige (12230427),Dan Ige,12230427,F,8200,Henry@Ige 03/16/2019 01:00PM ET,Ige,78.33
F,Ian Heinisch (12230418),Ian Heinisch,12230418,F,7800,Breese@Heinisch 03/16/2019 01:00PM ET,Heinisch,75.5
F,Mike Grundy (12230430),Mike Grundy,12230430,F,7300,Grundy@Narimani 03/16/2019 01:00PM ET,Grundy,0
F,Jorge Masvidal (12230420),Jorge Masvidal,12230420,F,7000,Masvidal@Till 03/16/2019 01:00PM ET,Masvidal,69.63
F,Volkan Oezdemir (12230416),Volkan Oezdemir,12230416,F,6900,Oezdemir@Reyes 03/16/2019 01:00PM ET,Oezdemir,67.6
