F,F,F,F,F,F
12230408,12230415,12230411,12230432,12230427,12230414
12230408,12230415,12230411,12230432,12230427,12230430
12230408,12230415,12230411,12230432,12230427,12230420
12230408,12230415,12230411,12230432,12230420,12230409
12230408,12230415,12230411,12230427,12230414,12230409
12230408,12230415,12230411,12230427,12230430,12230409
12230408,12230415,12230411,12230427,12230420,12230409
12230408,12230415,12230432,12230427,12230414,12230409
12230408,12230415,12230432,12230427,12230430,12230409
12230408,12230415,12230432,12230427,12230420,12230409
12230408,12230411,12230432,12230427,12230414,12230409
12230408,12230411,12230432,12230427,12230430,12230409
12230415,12230411,12230432,12230427,12230414,12230430
12230415,12230411,12230432,12230427,12230414,12230420
12230415,12230411,12230432,12230427,12230430,12230420
12230415,12230411,12230432,12230414,12230430,12230409
12230415,12230411,12230432,12230414,12230420,12230409
12230415,12230411,12230432,12230430,12230420,12230409
12230415,12230411,12230427,12230414,12230430,12230409
12230415,12230432,12230427,12230414,12230430,12230409
12230415,12230432,12230427,12230414,12230420,12230409
12230415,12230432,12230427,12230430,12230420,12230409
