F,F,F,F,F,F
12230415, 12230419, 12230413, 12230422, 12230408, 12230431 
12230415, 12230413, 12230407, 12230409, 12230431, 12230420 
12230425, 12230413, 12230407, 12230417, 12230431, 12230416 
12230425, 12230415, 12230409, 12230417, 12230414, 12230431 
12230425, 12230415, 12230413, 12230410, 12230408, 12230431 
12230425, 12230419, 12230413, 12230408, 12230431, 12230416 
12230425, 12230415, 12230409, 12230422, 12230414, 12230431 
12230425, 12230419, 12230413, 12230422, 12230408, 12230431 
12230425, 12230415, 12230407, 12230427, 12230414, 12230431 
12230425, 12230413, 12230409, 12230417, 12230408, 12230431 
12230415, 12230413, 12230409, 12230422, 12230418, 12230431 
12230415, 12230413, 12230407, 12230422, 12230410, 12230431 
12230415, 12230419, 12230413, 12230410, 12230408, 12230431 
12230425, 12230413, 12230407, 12230422, 12230431, 12230416 
12230425, 12230413, 12230409, 12230422, 12230408, 12230431 
12230415, 12230413, 12230407, 12230417, 12230431, 12230420 
12230425, 12230413, 12230407, 12230409, 12230431, 12230416 
12230425, 12230415, 12230409, 12230422, 12230408, 12230414 
12230415, 12230413, 12230407, 12230417, 12230431, 12230420 
12230425, 12230415, 12230413, 12230422, 12230408, 12230420 
12230415, 12230413, 12230409, 12230422, 12230408, 12230431 
12230425, 12230415, 12230407, 12230422, 12230414, 12230431 
12230425, 12230415, 12230413, 12230427, 12230431, 12230420 
12230415, 12230413, 12230409, 12230417, 12230408, 12230431 
12230425, 12230415, 12230413, 12230422, 12230431, 12230420 
