Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Petr Yan (11247471),Petr Yan,11247471,F,9600,Soo Son@Yan 09/15/2018 10:30AM ET,Yan,125.5
F,Rustam Khabilov (11247472),Rustam Khabilov,11247472,F,9500,Johnson@Khabilov 09/15/2018 10:30AM ET,Khabilov,70.75
F,Ramazan Emeev (11247474),Ramazan Emeev,11247474,F,9300,Emeev@Sekulic 09/15/2018 10:30AM ET,Emeev,59.25
F,Merab Dvalishvili (11247473),Merab Dvalishvili,11247473,F,9200,Dvalishvili@Ware 09/15/2018 10:30AM ET,Dvalishvili,74.5
F,Magomed Ankalaev (11247475),Magomed Ankalaev,11247475,F,9100,Ankalaev@Prachnio 09/15/2018 10:30AM ET,Ankalaev,48.5
F,Aleksei Kunchenko (11247476),Aleksei Kunchenko,11247476,F,9000,Alves@Kunchenko 09/15/2018 10:30AM ET,Kunchenko,0
F,Mairbek Taisumov (11247477),Mairbek Taisumov,11247477,F,8900,Green@Taisumov 09/15/2018 10:30AM ET,Taisumov,85.5
F,Jordan Johnson (11247478),Jordan Johnson,11247478,F,8700,Johnson@Yandiev 09/15/2018 10:30AM ET,Johnson,71.67
F,Mark Hunt (11247479),Mark Hunt,11247479,F,8600,Hunt@Oleinik 09/15/2018 10:30AM ET,Hunt,56.62
F,Khalid Murtazaliev (11247480),Khalid Murtazaliev,11247480,F,8400,Dollaway@Murtazaliev 09/15/2018 10:30AM ET,Murtazaliev,0
F,Shamil Abdurakhimov (11247481),Shamil Abdurakhimov,11247481,F,8300,Abdurakhimov@Arlovski 09/15/2018 10:30AM ET,Abdurakhimov,53.3
F,Nikita Krylov (11247483),Nikita Krylov,11247483,F,8200,Blachowicz@Krylov 09/15/2018 10:30AM ET,Krylov,77.94
F,Jan Blachowicz (11247482),Jan Blachowicz,11247482,F,8000,Blachowicz@Krylov 09/15/2018 10:30AM ET,Blachowicz,64.67
F,Andrei Arlovski (11247484),Andrei Arlovski,11247484,F,7900,Abdurakhimov@Arlovski 09/15/2018 10:30AM ET,Arlovski,61.60
F,CB Dollaway (11247485),CB Dollaway,11247485,F,7800,Dollaway@Murtazaliev 09/15/2018 10:30AM ET,Dollaway,63.26
F,Aleksei Oleinik (11247486),Aleksei Oleinik,11247486,F,7600,Hunt@Oleinik 09/15/2018 10:30AM ET,Oleinik,84.21
F,Adam Yandiev (11247487),Adam Yandiev,11247487,F,7500,Johnson@Yandiev 09/15/2018 10:30AM ET,Yandiev,0
F,Desmond Green (11247488),Desmond Green,11247488,F,7300,Green@Taisumov 09/15/2018 10:30AM ET,Green,48.75
F,Thiago Alves (11247490),Thiago Alves,11247490,F,7200,Alves@Kunchenko 09/15/2018 10:30AM ET,Alves,67.91
F,Marcin Prachnio (11247489),Marcin Prachnio,11247489,F,7100,Ankalaev@Prachnio 09/15/2018 10:30AM ET,Prachnio,7.5
F,Terrion Ware (11247491),Terrion Ware,11247491,F,7000,Dvalishvili@Ware 09/15/2018 10:30AM ET,Ware,43.17
F,Stefan Sekulic (11247492),Stefan Sekulic,11247492,F,6900,Emeev@Sekulic 09/15/2018 10:30AM ET,Sekulic,0
F,Kajan Johnson (11247493),Kajan Johnson,11247493,F,6700,Johnson@Khabilov 09/15/2018 10:30AM ET,Johnson,51.5
F,Jin Soo Son (11247494),Jin Soo Son,11247494,F,6600,Soo Son@Yan 09/15/2018 10:30AM ET,Soo Son,0
