Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Vicente Luque (11346047),Vicente Luque,11346047,F,9400,Luque@Turner 10/06/2018 06:15PM ET,Luque,85.38
F,Tony Ferguson (11346041),Tony Ferguson,11346041,F,9300,Ferguson@Pettis 10/06/2018 06:15PM ET,Ferguson,90.64
F,Sean O'Malley (11346037),Sean O'Malley,11346037,F,9200,O'Malley@Quinonez 10/06/2018 06:15PM ET,O'Malley,92.5
F,Alan Patrick (11346043),Alan Patrick,11346043,F,9100,Holtzman@Patrick 10/06/2018 06:15PM ET,Patrick,77.08
F,Nik Lentz (11346039),Nik Lentz,11346039,F,9000,Lentz@Maynard 10/06/2018 06:15PM ET,Lentz,69.1
F,Dominick Reyes (11346031),Dominick Reyes,11346031,F,8900,Reyes@Saint Preux 10/06/2018 06:15PM ET,Reyes,108.5
F,Ryan LaFlare (11346025),Ryan LaFlare,11346025,F,8800,LaFlare@Martin 10/06/2018 06:15PM ET,LaFlare,70.11
F,Alexander Volkov (11346035),Alexander Volkov,11346035,F,8700,Lewis@Volkov 10/06/2018 06:15PM ET,Volkov,92
F,Sergio Pettis (11346029),Sergio Pettis,11346029,F,8600,Formiga@Pettis 10/06/2018 06:15PM ET,Pettis,60.73
F,Yana Kunitskaya (11346027),Yana Kunitskaya,11346027,F,8500,Kunitskaya@Lansberg 10/06/2018 06:15PM ET,Kunitskaya,10.5
F,Khabib Nurmagomedov (11346023),Khabib Nurmagomedov,11346023,F,8400,McGregor@Nurmagomedov 10/06/2018 06:15PM ET,Nurmagomedov,112.35
F,Felice Herrig (11346033),Felice Herrig,11346033,F,8300,Herrig@Waterson 10/06/2018 06:15PM ET,Herrig,72.17
F,Aspen Ladd (11346045),Aspen Ladd,11346045,F,8200,Evinger@Ladd 10/06/2018 06:15PM ET,Ladd,94
F,Tonya Evinger (11346046),Tonya Evinger,11346046,F,8000,Evinger@Ladd 10/06/2018 06:15PM ET,Evinger,21
F,Michelle Waterson (11346034),Michelle Waterson,11346034,F,7900,Herrig@Waterson 10/06/2018 06:15PM ET,Waterson,72.2
F,Conor McGregor (11346024),Conor McGregor,11346024,F,7800,McGregor@Nurmagomedov 10/06/2018 06:15PM ET,McGregor,104.05
F,Lina Lansberg (11346028),Lina Lansberg,11346028,F,7700,Kunitskaya@Lansberg 10/06/2018 06:15PM ET,Lansberg,39.38
F,Jussier Formiga (11346030),Jussier Formiga,11346030,F,7600,Formiga@Pettis 10/06/2018 06:15PM ET,Formiga,55.96
F,Derrick Lewis (11346036),Derrick Lewis,11346036,F,7500,Lewis@Volkov 10/06/2018 06:15PM ET,Lewis,71.14
F,Tony Martin (11346026),Tony Martin,11346026,F,7400,LaFlare@Martin 10/06/2018 06:15PM ET,Martin,52.22
F,Ovince Saint Preux (11346032),Ovince Saint Preux,11346032,F,7300,Reyes@Saint Preux 10/06/2018 06:15PM ET,Saint Preux,65.24
F,Gray Maynard (11346040),Gray Maynard,11346040,F,7200,Lentz@Maynard 10/06/2018 06:15PM ET,Maynard,56.68
F,Scott Holtzman (11346044),Scott Holtzman,11346044,F,7100,Holtzman@Patrick 10/06/2018 06:15PM ET,Holtzman,82.5
F,Jose Quinonez (11346038),Jose Quinonez,11346038,F,7000,O'Malley@Quinonez 10/06/2018 06:15PM ET,Quinonez,81.8
F,Anthony Pettis (11346042),Anthony Pettis,11346042,F,6900,Ferguson@Pettis 10/06/2018 06:15PM ET,Pettis,64.36
F,Jalin Turner (11346048),Jalin Turner,11346048,F,6800,Luque@Turner 10/06/2018 06:15PM ET,Turner,0
