Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Odell Beckham Jr. (11265878),Odell Beckham Jr.,11265878,CPT,19500,NYG@DAL 09/16/2018 08:20PM ET,NYG,25
RB,Ezekiel Elliott (11265879),Ezekiel Elliott,11265879,CPT,18000,NYG@DAL 09/16/2018 08:20PM ET,DAL,17.6
RB,Saquon Barkley (11265880),Saquon Barkley,11265880,CPT,17700,NYG@DAL 09/16/2018 08:20PM ET,NYG,23.8
QB,Dak Prescott (11265881),Dak Prescott,11265881,CPT,15600,NYG@DAL 09/16/2018 08:20PM ET,DAL,9.7
QB,Eli Manning (11265882),Eli Manning,11265882,CPT,15300,NYG@DAL 09/16/2018 08:20PM ET,NYG,8.16
WR,Odell Beckham Jr. (11265844),Odell Beckham Jr.,11265844,FLEX,13000,NYG@DAL 09/16/2018 08:20PM ET,NYG,25
RB,Ezekiel Elliott (11265845),Ezekiel Elliott,11265845,FLEX,12000,NYG@DAL 09/16/2018 08:20PM ET,DAL,17.6
RB,Saquon Barkley (11265846),Saquon Barkley,11265846,FLEX,11800,NYG@DAL 09/16/2018 08:20PM ET,NYG,23.8
WR,Sterling Shepard (11265883),Sterling Shepard,11265883,CPT,11700,NYG@DAL 09/16/2018 08:20PM ET,NYG,9.8
WR,Cole Beasley (11265884),Cole Beasley,11265884,CPT,10500,NYG@DAL 09/16/2018 08:20PM ET,DAL,14.3
QB,Dak Prescott (11265847),Dak Prescott,11265847,FLEX,10400,NYG@DAL 09/16/2018 08:20PM ET,DAL,9.7
QB,Eli Manning (11265848),Eli Manning,11265848,FLEX,10200,NYG@DAL 09/16/2018 08:20PM ET,NYG,8.16
TE,Evan Engram (11265885),Evan Engram,11265885,CPT,9600,NYG@DAL 09/16/2018 08:20PM ET,NYG,3.8
QB,Cooper Rush (11265886),Cooper Rush,11265886,CPT,8100,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
WR,Sterling Shepard (11265849),Sterling Shepard,11265849,FLEX,7800,NYG@DAL 09/16/2018 08:20PM ET,NYG,9.8
QB,Alex Tanney (11265887),Alex Tanney,11265887,CPT,7500,NYG@DAL 09/16/2018 08:20PM ET,NYG,0
WR,Cole Beasley (11265850),Cole Beasley,11265850,FLEX,7000,NYG@DAL 09/16/2018 08:20PM ET,DAL,14.3
WR,Michael Gallup (11265888),Michael Gallup,11265888,CPT,6600,NYG@DAL 09/16/2018 08:20PM ET,DAL,1.9
TE,Evan Engram (11265851),Evan Engram,11265851,FLEX,6400,NYG@DAL 09/16/2018 08:20PM ET,NYG,3.8
WR,Allen Hurns (11265889),Allen Hurns,11265889,CPT,6300,NYG@DAL 09/16/2018 08:20PM ET,DAL,3
DST,Giants  (11265890),Giants ,11265890,CPT,6000,NYG@DAL 09/16/2018 08:20PM ET,NYG,4
DST,Cowboys  (11265891),Cowboys ,11265891,CPT,5700,NYG@DAL 09/16/2018 08:20PM ET,DAL,6
QB,Cooper Rush (11265852),Cooper Rush,11265852,FLEX,5400,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
K,Brett Maher (11265892),Brett Maher,11265892,CPT,5400,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
K,Aldrick Rosas (11265893),Aldrick Rosas,11265893,CPT,5100,NYG@DAL 09/16/2018 08:20PM ET,NYG,10
QB,Alex Tanney (11265853),Alex Tanney,11265853,FLEX,5000,NYG@DAL 09/16/2018 08:20PM ET,NYG,0
WR,Deonte Thompson (11265894),Deonte Thompson,11265894,CPT,4500,NYG@DAL 09/16/2018 08:20PM ET,DAL,5.7
