PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Todd Gurley	RB	LAR	@SEA	-345	50.50	0.00	25.25	16.35	9400	23.3	2.5
Jared Goff	QB	LAR	@SEA	-345	50.50	0.00	25.25	3.77	6500	11.1	1.7
Philip Rivers	QB	LAC	OAK	-235	51.50	-5.00	28.25	12.60	6700	11.0	1.6
Kirk Cousins	QB	MIN	@PHI	160	48.00	3.50	22.25	18.05	6000	12.5	2.1
Melvin Gordon	RB	LAC	OAK	-235	51.50	-5.00	28.25	64.83	8600	19.2	2.2
Carson Wentz	QB	PHI	MIN	-190	48.00	-3.50	25.75	10.37	5800	11.2	1.9
Russell Wilson	QB	SEA	LAR	275	50.50	0.00	25.25	8.14	5100	11.6	2.3
Derek Carr	QB	OAK	@LAC	190	51.50	5.00	23.25	46.33	5200	10.7	2.1
Adam Thielen	WR	MIN	@PHI	160	48.00	3.50	22.25	28.65	7700	30.3	3.9
Keenan Allen	WR	LAC	OAK	-235	51.50	-5.00	28.25	54.03	7800	26.2	3.4
David Johnson	RB	ARI	@SF	140	40.50	3.00	18.75	18.62	6300	20.8	3.3
Stefon Diggs	WR	MIN	@PHI	160	48.00	3.50	22.25	22.23	7000	10.0	1.4
Josh Rosen	QB	ARI	@SF	140	40.50	3.00	18.75	0.74	4700	0.0	0.0
C.J. Beathard	QB	SF	ARI	-165	40.50	-3.00	21.75	0.00	4900	12.4	2.5
Zach Ertz	TE	PHI	MIN	-190	48.00	-3.50	25.75	18.14	6500	25.5	3.9
Brandin Cooks	WR	LAR	@SEA	-345	50.50	0.00	25.25	6.69	7400	24.9	3.4
Robert Woods	WR	LAR	@SEA	-345	50.50	0.00	25.25	6.13	6500	10.0	1.5
Cooper Kupp	WR	LAR	@SEA	-345	50.50	0.00	25.25	6.12	6300	22.4	3.6
Marshawn Lynch	RB	OAK	@LAC	190	51.50	5.00	23.25	33.27	5500	20.3	3.7
Amari Cooper	WR	OAK	@LAC	190	51.50	5.00	23.25	30.58	5500	21.7	3.9
Larry Fitzgerald	WR	ARI	@SF	140	40.50	3.00	18.75	11.90	4700	23.0	4.9
Alshon Jeffery	WR	PHI	MIN	-190	48.00	-3.50	25.75	9.33	6200	21.9	3.5
Doug Baldwin	WR	SEA	LAR	275	50.50	0.00	25.25	6.32	5000	23.5	4.7
Mike Williams	WR	LAC	OAK	-235	51.50	-5.00	28.25	37.97	4200	20.1	4.8
Jay Ajayi	RB	PHI	MIN	-190	48.00	-3.50	25.75	8.58	5100	20.5	4.0
Nelson Agholor	WR	PHI	MIN	-190	48.00	-3.50	25.75	9.24	5300	10.0	1.9
Jared Cook	TE	OAK	@LAC	190	51.50	5.00	23.25	21.86	4800	23.1	4.8
Matt Breida	RB	SF	ARI	-165	40.50	-3.00	21.75	3.61	5700	16.4	2.9
Tyler Lockett	WR	SEA	LAR	275	50.50	0.00	25.25	5.45	4600	10.0	2.2
Tyrell Williams	WR	LAC	OAK	-235	51.50	-5.00	28.25	36.53	3600	18.4	5.1
Austin Ekeler	RB	LAC	OAK	-235	51.50	-5.00	28.25	40.40	4200	15.1	3.6
Chris Carson	RB	SEA	LAR	275	50.50	0.00	25.25	6.58	4100	18.5	4.5
Jordy Nelson	WR	OAK	@LAC	190	51.50	5.00	23.25	20.98	4500	20.3	4.5
Dalvin Cook	RB	MIN	@PHI	160	48.00	3.50	22.25	8.19	5300	17.5	3.3
Marquise Goodwin	WR	SF	ARI	-165	40.50	-3.00	21.75	3.44	4500	10.0	2.2
Kyle Rudolph	TE	MIN	@PHI	160	48.00	3.50	22.25	12.34	4500	17.6	3.9
