PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Michael Thomas	WR	NO	@NYG	-170	52.00	0.00	26.00	44.83	9100	19.6	2.2
Drew Brees	QB	NO	@NYG	-170	52.00	0.00	26.00	48.78	6600	19.1	2.9
Alvin Kamara	RB	NO	@NYG	-170	52.00	0.00	26.00	61.37	9600	24.8	2.6
Odell Beckham	WR	NYG	NO	145	52.00	0.00	26.00	33.26	8700	17.2	2.0
Philip Rivers	QB	LAC	SF	-480	46.00	-10.00	28.00	17.53	6500	19.7	3.0
Russell Wilson	QB	SEA	@ARI	-195	40.00	0.00	20.00	15.45	5600	18.0	3.2
Saquon Barkley	RB	NYG	NO	145	52.00	0.00	26.00	29.72	8100	22.9	2.8
Melvin Gordon	RB	LAC	SF	-480	46.00	-10.00	28.00	45.88	8300	18.4	2.2
Eli Manning	QB	NYG	NO	145	52.00	0.00	26.00	10.10	5600	14.7	2.6
David Johnson	RB	ARI	SEA	165	40.00	0.00	20.00	6.37	6600	18.0	2.7
Baker Mayfield	QB	CLE	@OAK	115	44.50	2.50	21.00	2.89	5300	0.0	0.0
Keenan Allen	WR	LAC	SF	-480	46.00	-10.00	28.00	31.29	8300	18.2	2.2
Derek Carr	QB	OAK	CLE	-135	44.50	-2.50	23.50	4.97	5100	15.2	3.0
Jarvis Landry	WR	CLE	@OAK	115	44.50	2.50	21.00	17.36	7400	15.1	2.0
Larry Fitzgerald	WR	ARI	SEA	165	40.00	0.00	20.00	6.76	5000	13.2	2.6
Carlos Hyde	RB	CLE	@OAK	115	44.50	2.50	21.00	18.39	5500	11.6	2.1
Chris Carson	RB	SEA	@ARI	-195	40.00	0.00	20.00	5.38	4600	14.2	3.1
Sterling Shepard	WR	NYG	NO	145	52.00	0.00	26.00	18.92	4900	10.4	2.1
C.J. Beathard	QB	SF	@LAC	360	46.00	10.00	18.00	0.28	4600	9.6	2.1
Amari Cooper	WR	OAK	CLE	-135	44.50	-2.50	23.50	9.91	5600	12.6	2.3
Tyler Lockett	WR	SEA	@ARI	-195	40.00	0.00	20.00	4.16	5100	11.3	2.2
Marshawn Lynch	RB	OAK	CLE	-135	44.50	-2.50	23.50	10.95	4800	11.8	2.5
Mike Williams	WR	LAC	SF	-480	46.00	-10.00	28.00	30.18	4500	10.4	2.3
Josh Rosen	QB	ARI	SEA	165	40.00	0.00	20.00	0.00	4500	0.0	0.0
Jordy Nelson	WR	OAK	CLE	-135	44.50	-2.50	23.50	9.60	4700	10.7	2.3
Antonio Callaway	WR	CLE	@OAK	115	44.50	2.50	21.00	13.75	4300	0.0	0.0
Matt Breida	RB	SF	@LAC	360	46.00	10.00	18.00	15.32	5800	11.6	2.0
Austin Ekeler	RB	LAC	SF	-480	46.00	-10.00	28.00	27.20	4200	8.4	2.0
Doug Baldwin	WR	SEA	@ARI	-195	40.00	0.00	20.00	2.05	5500	9.0	1.6
Brandon Marshall	WR	SEA	@ARI	-195	40.00	0.00	20.00	3.41	4000	6.1	1.5
Marquise Goodwin	WR	SF	@LAC	360	46.00	10.00	18.00	16.19	4800	7.2	1.5
Christian Kirk	WR	ARI	SEA	165	40.00	0.00	20.00	4.03	3700	10.0	2.7
Ted Ginn	WR	NO	@NYG	-170	52.00	0.00	26.00	13.15	4600	9.5	2.1
Tyrell Williams	WR	LAC	SF	-480	46.00	-10.00	28.00	23.12	3700	9.7	2.6
Pierre Garcon	WR	SF	@LAC	360	46.00	10.00	18.00	14.16	4600	7.2	1.6
George Kittle	TE	SF	@LAC	360	46.00	10.00	18.00	22.26	4200	7.8	1.9
Jared Cook	TE	OAK	CLE	-135	44.50	-2.50	23.50	14.18	4100	9.6	2.3
Jalen Richard	RB	OAK	CLE	-135	44.50	-2.50	23.50	6.67	3400	8.1	2.4
Ben Watson	TE	NO	@NYG	-170	52.00	0.00	26.00	19.59	3300	7.4	2.3
Martavis Bryant	WR	OAK	CLE	-135	44.50	-2.50	23.50	6.53	3400	8.2	2.4
David Njoku	TE	CLE	@OAK	115	44.50	2.50	21.00	15.49	3200	9.2	2.9
Los Angeles Chargers	D	LAC	SF	360	46.00	10.00	18.00	0.00	3900	11.5	2.9
Jaron Brown	WR	SEA	@ARI	-195	40.00	0.00	20.00	1.38	3700	2.3	0.6
Rashard Higgins	WR	CLE	@OAK	115	44.50	2.50	21.00	7.42	3400	6.6	1.9
Seattle Seahawks	D	SEA	@ARI	165	40.00	0.00	20.00	0.00	3200	6.5	2.0
Will Dissly	TE	SEA	@ARI	-195	40.00	0.00	20.00	5.62	3100	0.0	0.0
Rhett Ellison	TE	NYG	NO	145	52.00	0.00	26.00	12.44	2700	7.3	2.7
Alfred Morris	RB	SF	@LAC	360	46.00	10.00	18.00	9.29	3800	6.6	1.7
Ricky Seals-Jones	TE	ARI	SEA	165	40.00	0.00	20.00	5.41	2900	5.1	1.8
New Orleans Saints	D	NO	@NYG	145	52.00	0.00	26.00	0.00	2500	7.0	2.8
Cleveland Browns	D	CLE	@OAK	-135	44.50	-2.50	23.50	0.00	2900	6.2	2.1
Cameron Meredith	WR	NO	@NYG	-170	52.00	0.00	26.00	5.71	3700	5.3	1.4
Oakland Raiders	D	OAK	CLE	115	44.50	2.50	21.00	0.00	2500	8.7	3.5
Trent Taylor	WR	SF	@LAC	360	46.00	10.00	18.00	7.00	3600	5.4	1.5
Arizona Cardinals	D	ARI	SEA	-195	40.00	0.00	20.00	0.00	2600	5.6	2.2
Russell Shepard	WR	NYG	NO	145	52.00	0.00	26.00	5.06	3000	3.6	1.2
New York Giants	D	NYG	NO	-170	52.00	0.00	26.00	0.00	2100	4.1	1.9
Doug Martin	RB	OAK	CLE	-135	44.50	-2.50	23.50	1.18	3700	5.8	1.6
Chad Williams	WR	ARI	SEA	165	40.00	0.00	20.00	0.34	3000	7.0	2.3
Travis Benjamin	WR	LAC	SF	-480	46.00	-10.00	28.00	4.75	3500	6.2	1.8
Dante Pettis	WR	SF	@LAC	360	46.00	10.00	18.00	3.62	3800	2.7	0.7
Austin Carr	WR	NO	@NYG	-170	52.00	0.00	26.00	2.86	3000	0.6	0.2
Antonio Gates	TE	LAC	SF	-480	46.00	-10.00	28.00	6.35	2700	5.4	2.0
Seth Roberts	WR	OAK	CLE	-135	44.50	-2.50	23.50	0.83	3200	6.6	2.1
Duke Johnson	RB	CLE	@OAK	115	44.50	2.50	21.00	1.49	3900	9.4	2.4
San Francisco 49ers	D	SF	@LAC	-480	46.00	-10.00	28.00	0.00	2100	4.9	2.3
Kyle Juszczyk	RB	SF	@LAC	360	46.00	10.00	18.00	2.47	3100	4.6	1.5
Virgil Green	TE	LAC	SF	-480	46.00	-10.00	28.00	3.76	2500	3.5	1.4
Rashaad Penny	RB	SEA	@ARI	-195	40.00	0.00	20.00	0.02	3900	7.0	1.8
