PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Michael Thomas	WR	NO	@NYG	-170	52.00	0.00	26.00	44.83	9100	26.2	2.9
Drew Brees	QB	NO	@NYG	-170	52.00	0.00	26.00	48.78	6600	25.7	3.9
Alvin Kamara	RB	NO	@NYG	-170	52.00	0.00	26.00	61.37	9600	25.3	2.6
Odell Beckham	WR	NYG	NO	145	52.00	0.00	26.00	33.26	8700	25.0	2.9
Philip Rivers	QB	LAC	SF	-480	46.00	-10.00	28.00	17.53	6500	23.1	3.6
Russell Wilson	QB	SEA	@ARI	-195	40.00	0.00	20.00	15.45	5600	20.5	3.7
Saquon Barkley	RB	NYG	NO	145	52.00	0.00	26.00	29.72	8100	20.4	2.5
Melvin Gordon	RB	LAC	SF	-480	46.00	-10.00	28.00	45.88	8300	19.4	2.3
Eli Manning	QB	NYG	NO	145	52.00	0.00	26.00	10.10	5600	18.3	3.3
David Johnson	RB	ARI	SEA	165	40.00	0.00	20.00	6.37	6600	17.5	2.7
Baker Mayfield	QB	CLE	@OAK	115	44.50	2.50	21.00	2.89	5300	17.0	3.2
Keenan Allen	WR	LAC	SF	-480	46.00	-10.00	28.00	31.29	8300	17.0	2.1
Derek Carr	QB	OAK	CLE	-135	44.50	-2.50	23.50	4.97	5100	16.8	3.3
Jarvis Landry	WR	CLE	@OAK	115	44.50	2.50	21.00	17.36	7400	16.3	2.2
Larry Fitzgerald	WR	ARI	SEA	165	40.00	0.00	20.00	6.76	5000	14.8	3.0
Carlos Hyde	RB	CLE	@OAK	115	44.50	2.50	21.00	18.39	5500	14.5	2.6
Chris Carson	RB	SEA	@ARI	-195	40.00	0.00	20.00	5.38	4600	14.5	3.2
Sterling Shepard	WR	NYG	NO	145	52.00	0.00	26.00	18.92	4900	13.9	2.8
C.J. Beathard	QB	SF	@LAC	360	46.00	10.00	18.00	0.28	4600	13.7	3.0
Amari Cooper	WR	OAK	CLE	-135	44.50	-2.50	23.50	9.91	5600	13.4	2.4
Tyler Lockett	WR	SEA	@ARI	-195	40.00	0.00	20.00	4.16	5100	13.3	2.6
Marshawn Lynch	RB	OAK	CLE	-135	44.50	-2.50	23.50	10.95	4800	13.2	2.8
Mike Williams	WR	LAC	SF	-480	46.00	-10.00	28.00	30.18	4500	13.2	2.9
Josh Rosen	QB	ARI	SEA	165	40.00	0.00	20.00	0.00	4500	13.1	2.9
Jordy Nelson	WR	OAK	CLE	-135	44.50	-2.50	23.50	9.60	4700	12.2	2.6
Antonio Callaway	WR	CLE	@OAK	115	44.50	2.50	21.00	13.75	4300	12.0	2.8
Matt Breida	RB	SF	@LAC	360	46.00	10.00	18.00	15.32	5800	11.3	1.9
Austin Ekeler	RB	LAC	SF	-480	46.00	-10.00	28.00	27.20	4200	11.1	2.7
Doug Baldwin	WR	SEA	@ARI	-195	40.00	0.00	20.00	2.05	5500	11.1	2.0
Brandon Marshall	WR	SEA	@ARI	-195	40.00	0.00	20.00	3.41	4000	11.1	2.8
Marquise Goodwin	WR	SF	@LAC	360	46.00	10.00	18.00	16.19	4800	11.0	2.3
Christian Kirk	WR	ARI	SEA	165	40.00	0.00	20.00	4.03	3700	10.8	2.9
Ted Ginn	WR	NO	@NYG	-170	52.00	0.00	26.00	13.15	4600	10.6	2.3
Tyrell Williams	WR	LAC	SF	-480	46.00	-10.00	28.00	23.12	3700	10.6	2.8
Pierre Garcon	WR	SF	@LAC	360	46.00	10.00	18.00	14.16	4600	10.1	2.2
George Kittle	TE	SF	@LAC	360	46.00	10.00	18.00	22.26	4200	9.7	2.3
Jared Cook	TE	OAK	CLE	-135	44.50	-2.50	23.50	14.18	4100	9.4	2.3
Jalen Richard	RB	OAK	CLE	-135	44.50	-2.50	23.50	6.67	3400	9.2	2.7
Ben Watson	TE	NO	@NYG	-170	52.00	0.00	26.00	19.59	3300	9.0	2.7
Martavis Bryant	WR	OAK	CLE	-135	44.50	-2.50	23.50	6.53	3400	8.9	2.6
David Njoku	TE	CLE	@OAK	115	44.50	2.50	21.00	15.49	3200	8.6	2.7
Los Angeles Chargers	D	LAC	SF	360	46.00	10.00	18.00	0.00	3900	8.5	2.2
Jaron Brown	WR	SEA	@ARI	-195	40.00	0.00	20.00	1.38	3700	8.3	2.2
Rashard Higgins	WR	CLE	@OAK	115	44.50	2.50	21.00	7.42	3400	8.2	2.4
Seattle Seahawks	D	SEA	@ARI	165	40.00	0.00	20.00	0.00	3200	8.2	2.6
Will Dissly	TE	SEA	@ARI	-195	40.00	0.00	20.00	5.62	3100	7.5	2.4
Rhett Ellison	TE	NYG	NO	145	52.00	0.00	26.00	12.44	2700	7.2	2.7
Alfred Morris	RB	SF	@LAC	360	46.00	10.00	18.00	9.29	3800	7.1	1.9
Ricky Seals-Jones	TE	ARI	SEA	165	40.00	0.00	20.00	5.41	2900	7.1	2.4
New Orleans Saints	D	NO	@NYG	145	52.00	0.00	26.00	0.00	2500	6.5	2.6
Cleveland Browns	D	CLE	@OAK	-135	44.50	-2.50	23.50	0.00	2900	6.4	2.2
Cameron Meredith	WR	NO	@NYG	-170	52.00	0.00	26.00	5.71	3700	6.4	1.7
Oakland Raiders	D	OAK	CLE	115	44.50	2.50	21.00	0.00	2500	6.3	2.5
Trent Taylor	WR	SF	@LAC	360	46.00	10.00	18.00	7.00	3600	6.3	1.8
Arizona Cardinals	D	ARI	SEA	-195	40.00	0.00	20.00	0.00	2600	6.3	2.4
Russell Shepard	WR	NYG	NO	145	52.00	0.00	26.00	5.06	3000	6.2	2.1
New York Giants	D	NYG	NO	-170	52.00	0.00	26.00	0.00	2100	5.6	2.7
