PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Michael Thomas	UT	NO	@NYG	-180	52.00	0.00	26.00	11.11	11000	19.6	1.8
Drew Brees	UT	NO	@NYG	-180	52.00	0.00	26.00	11.35	12000	19.1	1.6
Alvin Kamara	UT	NO	@NYG	-180	52.00	0.00	26.00	12.61	11600	24.8	2.1
Odell Beckham	UT	NYG	NO	150	52.00	0.00	26.00	8.02	10600	17.2	1.6
Tom Brady	UT	NE	MIA	-305	50.50	-6.50	28.50	21.25	13000	20.5	1.6
Patrick Mahomes	UT	KC	@DEN	-190	53.50	0.00	26.75	7.05	12800	19.7	1.5
Ben Roethlisberger	UT	PIT	BAL	-170	51.50	-3.00	27.25	12.19	11400	18.5	1.6
Todd Gurley	UT	LAR	MIN	-340	49.00	-7.00	28.00	12.60	11600	19.0	1.6
Andrew Luck	UT	IND	HOU	100	48.50	0.00	24.25	6.73	11400	18.7	1.6
Saquon Barkley	UT	NYG	NO	150	52.00	0.00	26.00	7.16	10200	22.9	2.2
Antonio Brown	UT	PIT	BAL	-170	51.50	-3.00	27.25	12.25	11800	20.7	1.8
James Conner	UT	PIT	BAL	-170	51.50	-3.00	27.25	11.28	10000	17.1	1.7
Kirk Cousins	UT	MIN	@LAR	270	49.00	7.00	21.00	14.83	9000	16.1	1.8
Eli Manning	UT	NYG	NO	150	52.00	0.00	26.00	6.37	9800	14.7	1.5
Case Keenum	UT	DEN	KC	160	53.50	0.00	26.75	10.04	9800	16.6	1.7
Jared Goff	UT	LAR	MIN	-340	49.00	-7.00	28.00	10.49	10800	16.2	1.5
Joe Flacco	UT	BAL	@PIT	145	51.50	3.00	24.25	11.79	10200	18.7	1.8
Adam Thielen	UT	MIN	@LAR	270	49.00	7.00	21.00	14.60	9800	16.5	1.7
JuJu Smith-Schuster	UT	PIT	BAL	-170	51.50	-3.00	27.25	9.68	9600	16.1	1.7
T.Y. Hilton	UT	IND	HOU	100	48.50	0.00	24.25	4.57	8800	14.8	1.7
Kareem Hunt	UT	KC	@DEN	-190	53.50	0.00	26.75	3.34	8400	13.1	1.6
Tyreek Hill	UT	KC	@DEN	-190	53.50	0.00	26.75	3.84	11200	15.5	1.4
Travis Kelce	UT	KC	@DEN	-190	53.50	0.00	26.75	3.47	9600	16.3	1.7
Rob Gronkowski	UT	NE	MIA	-305	50.50	-6.50	28.50	14.99	9800	19.2	2.0
Stefon Diggs	UT	MIN	@LAR	270	49.00	7.00	21.00	11.90	8000	13.4	1.7
Sony Michel	UT	NE	MIA	-305	50.50	-6.50	28.50	13.58	7200	14.6	2.0
James White	UT	NE	MIA	-305	50.50	-6.50	28.50	14.52	9400	13.0	1.4
Emmanuel Sanders	UT	DEN	KC	160	53.50	0.00	26.75	7.96	9200	14.1	1.5
Robert Woods	UT	LAR	MIN	-340	49.00	-7.00	28.00	7.34	7000	12.7	1.8
Javorius Allen	UT	BAL	@PIT	145	51.50	3.00	24.25	8.14	6800	9.3	1.4
