PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Drew Brees	QB	NO	WAS	-270	51.50	-6.00	28.75	45.38	6500	11.4	1.8
Alvin Kamara	RB	NO	WAS	-270	51.50	-6.00	28.75	94.74	9700	22.1	2.3
Deshaun Watson	QB	HOU	DAL	-180	45.50	-3.50	24.50	14.49	6300	14.0	2.2
Michael Thomas	WR	NO	WAS	-270	51.50	-6.00	28.75	91.92	8500	30.3	3.6
DeAndre Hopkins	WR	HOU	DAL	-180	45.50	-3.50	24.50	21.64	7800	28.2	3.6
Alex Smith	QB	WAS	@NO	220	51.50	6.00	22.75	34.31	5600	12.8	2.3
Ezekiel Elliott	RB	DAL	@HOU	150	45.50	3.50	21.00	17.37	8300	23.4	2.8
Dak Prescott	QB	DAL	@HOU	150	45.50	3.50	21.00	5.71	5300	14.3	2.7
Chris Thompson	RB	WAS	@NO	220	51.50	6.00	22.75	45.60	6000	12.7	2.1
Adrian Peterson	RB	WAS	@NO	220	51.50	6.00	22.75	48.11	5000	18.9	3.8
Jamison Crowder	WR	WAS	@NO	220	51.50	6.00	22.75	64.67	4500	10.0	2.2
Jordan Reed	TE	WAS	@NO	220	51.50	6.00	22.75	41.48	5400	23.7	4.4
Will Fuller	WR	HOU	DAL	-180	45.50	-3.50	24.50	7.59	6400	25.5	4.0
Mark Ingram	RB	NO	WAS	-270	51.50	-6.00	28.75	30.84	5200	17.7	3.4
Cole Beasley	WR	DAL	@HOU	150	45.50	3.50	21.00	13.58	3700	19.3	5.2
Alfred Blue	RB	HOU	DAL	-180	45.50	-3.50	24.50	3.84	3900	13.7	3.5
Paul Richardson	WR	WAS	@NO	220	51.50	6.00	22.75	39.87	4200	19.7	4.7
Keke Coutee	WR	HOU	DAL	-180	45.50	-3.50	24.50	3.78	4800	19.5	4.1
Ben Watson	TE	NO	WAS	-270	51.50	-6.00	28.75	27.74	3100	17.2	5.5
Tavon Austin	WR	DAL	@HOU	150	45.50	3.50	21.00	6.46	3500	10.7	3.1
Cameron Meredith	WR	NO	WAS	-270	51.50	-6.00	28.75	28.74	3600	15.4	4.3
Geoff Swaim	TE	DAL	@HOU	150	45.50	3.50	21.00	11.25	2800	17.1	6.1
Houston Texans	D	HOU	DAL	150	45.50	3.50	21.00	0.00	2900	5.1	1.8
Michael Gallup	WR	DAL	@HOU	150	45.50	3.50	21.00	5.06	3400	15.0	4.4
Tyler Ervin	RB	HOU	DAL	-180	45.50	-3.50	24.50	1.67	3000	10.0	3.3
Josh Doctson	WR	WAS	@NO	220	51.50	6.00	22.75	19.31	3700	17.9	4.8
New Orleans Saints	D	NO	WAS	220	51.50	6.00	22.75	0.00	2300	5.3	2.3
Dallas Cowboys	D	DAL	@HOU	-180	45.50	-3.50	24.50	0.00	2400	5.6	2.3
Ryan Griffin	TE	HOU	DAL	-180	45.50	-3.50	24.50	4.71	2500	14.5	5.8
Allen Hurns	WR	DAL	@HOU	150	45.50	3.50	21.00	1.96	3500	15.8	4.5
Vernon Davis	TE	WAS	@NO	220	51.50	6.00	22.75	13.03	2800	12.7	4.5
Washington Redskins	D	WAS	@NO	-270	51.50	-6.00	28.75	0.00	2000	5.8	2.9
Rod Smith	RB	DAL	@HOU	150	45.50	3.50	21.00	0.53	4000	10.7	2.7
Jordan Thomas	TE	HOU	DAL	-180	45.50	-3.50	24.50	1.99	2500	0.0	0.0
Deonte Thompson	WR	DAL	@HOU	150	45.50	3.50	21.00	0.47	3400	16.4	4.8
Austin Carr	WR	NO	WAS	-270	51.50	-6.00	28.75	6.50	3000	11.7	3.9
Jordan Akins	TE	HOU	DAL	-180	45.50	-3.50	24.50	1.05	2500	13.2	5.3
Tre'Quan Smith	WR	NO	WAS	-270	51.50	-6.00	28.75	5.14	3200	12.3	3.8
Brice Butler	WR	DAL	@HOU	150	45.50	3.50	21.00	0.28	3000	0.0	0.0
Josh Hill	TE	NO	WAS	-270	51.50	-6.00	28.75	5.77	2500	10.0	4.0
Sammie Coates	WR	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3000	10.0	3.3
Lamar Miller	RB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	4500	17.2	3.8
Samaje Perine	RB	WAS	@NO	220	51.50	6.00	22.75	1.43	3200	10.0	3.1
Taysom Hill	QB	NO	WAS	-270	51.50	-6.00	28.75	0.11	4000	10.0	2.5
Jeremy Sprinkle	TE	WAS	@NO	220	51.50	6.00	22.75	2.74	2500	10.0	4.0
Maurice Harris	WR	WAS	@NO	220	51.50	6.00	22.75	1.49	3000	10.0	3.3
Rico Gathers	TE	DAL	@HOU	150	45.50	3.50	21.00	0.13	2500	11.0	4.4
Blake Jarwin	TE	DAL	@HOU	150	45.50	3.50	21.00	0.11	2500	10.7	4.3
Brian Quick	WR	WAS	@NO	220	51.50	6.00	22.75	1.32	3000	10.0	3.3
Kapri Bibbs	RB	WAS	@NO	220	51.50	6.00	22.75	0.87	3000	0.0	0.0
Zach Line	RB	NO	WAS	-270	51.50	-6.00	28.75	0.00	3000	10.0	3.3
Vyncint Smith	WR	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3000	0.0	0.0
Buddy Howell	RB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3000	10.0	3.3
Terrance Williams	WR	DAL	@HOU	150	45.50	3.50	21.00	0.00	3000	0.0	0.0
Ted Ginn	WR	NO	WAS	-270	51.50	-6.00	28.75	0.00	4400	0.0	0.0
Joe Webb	QB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	4000	10.0	2.5
Rob Kelley	RB	WAS	@NO	220	51.50	6.00	22.75	0.00	3000	0.0	0.0
Jamize Olawale	RB	DAL	@HOU	150	45.50	3.50	21.00	0.00	3000	10.0	3.3
Bruce Ellington	WR	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3200	0.0	0.0
Mike White	QB	DAL	@HOU	150	45.50	3.50	21.00	0.00	4000	0.0	0.0
Teddy Bridgewater	QB	NO	WAS	-270	51.50	-6.00	28.75	0.00	4500	10.0	2.2
Michael Floyd	WR	WAS	@NO	220	51.50	6.00	22.75	0.00	3000	0.0	0.0
Cooper Rush	QB	DAL	@HOU	150	45.50	3.50	21.00	0.00	4200	10.0	2.4
Noah Brown	WR	DAL	@HOU	150	45.50	3.50	21.00	0.00	3000	0.0	0.0
Byron Marshall	RB	WAS	@NO	220	51.50	6.00	22.75	0.00	3000	0.0	0.0
Dan Arnold	TE	NO	WAS	-270	51.50	-6.00	28.75	0.00	2500	10.0	4.0
Colt McCoy	QB	WAS	@NO	220	51.50	6.00	22.75	0.00	4300	10.0	2.3
Brandon Weeden	QB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	4200	10.0	2.4
D'Onta Foreman	RB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	4000	0.0	0.0
Dwayne Washington	RB	NO	WAS	-270	51.50	-6.00	28.75	0.00	3000	0.0	0.0
Dalton Schultz	TE	DAL	@HOU	150	45.50	3.50	21.00	0.00	2500	10.0	4.0
