PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Drew Brees	QB	NO	WAS	-270	51.50	-6.00	28.75	45.38	6500	23.0	3.5
Alvin Kamara	RB	NO	WAS	-270	51.50	-6.00	28.75	94.74	9700	20.5	2.1
Deshaun Watson	QB	HOU	DAL	-180	45.50	-3.50	24.50	14.49	6300	19.2	3.0
Michael Thomas	WR	NO	WAS	-270	51.50	-6.00	28.75	91.92	8500	24.2	2.8
DeAndre Hopkins	WR	HOU	DAL	-180	45.50	-3.50	24.50	21.64	7800	21.4	2.7
Alex Smith	QB	WAS	@NO	220	51.50	6.00	22.75	34.31	5600	15.6	2.8
Ezekiel Elliott	RB	DAL	@HOU	150	45.50	3.50	21.00	17.37	8300	20.5	2.5
Dak Prescott	QB	DAL	@HOU	150	45.50	3.50	21.00	5.71	5300	15.4	2.9
Chris Thompson	RB	WAS	@NO	220	51.50	6.00	22.75	45.60	6000	12.8	2.1
Adrian Peterson	RB	WAS	@NO	220	51.50	6.00	22.75	48.11	5000	11.3	2.3
Jamison Crowder	WR	WAS	@NO	220	51.50	6.00	22.75	64.67	4500	8.4	1.9
Jordan Reed	TE	WAS	@NO	220	51.50	6.00	22.75	41.48	5400	12.2	2.3
Will Fuller	WR	HOU	DAL	-180	45.50	-3.50	24.50	7.59	6400	14.6	2.3
Mark Ingram	RB	NO	WAS	-270	51.50	-6.00	28.75	30.84	5200	11.6	2.2
Cole Beasley	WR	DAL	@HOU	150	45.50	3.50	21.00	13.58	3700	8.3	2.3
Alfred Blue	RB	HOU	DAL	-180	45.50	-3.50	24.50	3.84	3900	5.4	1.4
Paul Richardson	WR	WAS	@NO	220	51.50	6.00	22.75	39.87	4200	8.8	2.1
Keke Coutee	WR	HOU	DAL	-180	45.50	-3.50	24.50	3.78	4800	5.6	1.2
Ben Watson	TE	NO	WAS	-270	51.50	-6.00	28.75	27.74	3100	8.1	2.6
Tavon Austin	WR	DAL	@HOU	150	45.50	3.50	21.00	6.46	3500	4.4	1.3
Cameron Meredith	WR	NO	WAS	-270	51.50	-6.00	28.75	28.74	3600	5.8	1.6
Geoff Swaim	TE	DAL	@HOU	150	45.50	3.50	21.00	11.25	2800	5.6	2.0
Houston Texans	D	HOU	DAL	150	45.50	3.50	21.00	0.00	2900	5.8	2.0
Michael Gallup	WR	DAL	@HOU	150	45.50	3.50	21.00	5.06	3400	5.8	1.7
Tyler Ervin	RB	HOU	DAL	-180	45.50	-3.50	24.50	1.67	3000	0.2	0.1
Josh Doctson	WR	WAS	@NO	220	51.50	6.00	22.75	19.31	3700	6.3	1.7
New Orleans Saints	D	NO	WAS	220	51.50	6.00	22.75	0.00	2300	5.8	2.5
Dallas Cowboys	D	DAL	@HOU	-180	45.50	-3.50	24.50	0.00	2400	7.5	3.1
Ryan Griffin	TE	HOU	DAL	-180	45.50	-3.50	24.50	4.71	2500	3.6	1.5
Allen Hurns	WR	DAL	@HOU	150	45.50	3.50	21.00	1.96	3500	6.8	1.9
Vernon Davis	TE	WAS	@NO	220	51.50	6.00	22.75	13.03	2800	4.7	1.7
Washington Redskins	D	WAS	@NO	-270	51.50	-6.00	28.75	0.00	2000	4.3	2.2
Rod Smith	RB	DAL	@HOU	150	45.50	3.50	21.00	0.53	4000	2.3	0.6
Jordan Thomas	TE	HOU	DAL	-180	45.50	-3.50	24.50	1.99	2500	0.0	0.0
Deonte Thompson	WR	DAL	@HOU	150	45.50	3.50	21.00	0.47	3400	5.3	1.6
Austin Carr	WR	NO	WAS	-270	51.50	-6.00	28.75	6.50	3000	0.6	0.2
Jordan Akins	TE	HOU	DAL	-180	45.50	-3.50	24.50	1.05	2500	3.1	1.2
Tre'Quan Smith	WR	NO	WAS	-270	51.50	-6.00	28.75	5.14	3200	2.6	0.8
Brice Butler	WR	DAL	@HOU	150	45.50	3.50	21.00	0.28	3000	2.4	0.8
Josh Hill	TE	NO	WAS	-270	51.50	-6.00	28.75	5.77	2500	2.2	0.9
Sammie Coates	WR	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3000	0.0	0.0
Lamar Miller	RB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	4500	13.4	3.0
Samaje Perine	RB	WAS	@NO	220	51.50	6.00	22.75	1.43	3200	0.0	0.0
Taysom Hill	QB	NO	WAS	-270	51.50	-6.00	28.75	0.11	4000	0.1	0.0
Jeremy Sprinkle	TE	WAS	@NO	220	51.50	6.00	22.75	2.74	2500	0.4	0.2
Maurice Harris	WR	WAS	@NO	220	51.50	6.00	22.75	1.49	3000	3.7	1.2
Rico Gathers	TE	DAL	@HOU	150	45.50	3.50	21.00	0.13	2500	2.3	0.9
