PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Drew Brees	QB	NO	WAS	-270	51.50	-6.00	28.75	45.38	6500	23.8	3.7
Alvin Kamara	RB	NO	WAS	-270	51.50	-6.00	28.75	94.74	9700	23.5	2.4
Deshaun Watson	QB	HOU	DAL	-180	45.50	-3.50	24.50	14.49	6300	22.2	3.5
Michael Thomas	WR	NO	WAS	-270	51.50	-6.00	28.75	91.92	8500	20.9	2.5
DeAndre Hopkins	WR	HOU	DAL	-180	45.50	-3.50	24.50	21.64	7800	18.9	2.4
Alex Smith	QB	WAS	@NO	220	51.50	6.00	22.75	34.31	5600	18.7	3.3
Ezekiel Elliott	RB	DAL	@HOU	150	45.50	3.50	21.00	17.37	8300	18.6	2.2
Dak Prescott	QB	DAL	@HOU	150	45.50	3.50	21.00	5.71	5300	17.0	3.2
Chris Thompson	RB	WAS	@NO	220	51.50	6.00	22.75	45.60	6000	14.1	2.3
Adrian Peterson	RB	WAS	@NO	220	51.50	6.00	22.75	48.11	5000	13.1	2.6
Jamison Crowder	WR	WAS	@NO	220	51.50	6.00	22.75	64.67	4500	13.0	2.9
Jordan Reed	TE	WAS	@NO	220	51.50	6.00	22.75	41.48	5400	12.9	2.4
Will Fuller	WR	HOU	DAL	-180	45.50	-3.50	24.50	7.59	6400	12.8	2.0
Mark Ingram	RB	NO	WAS	-270	51.50	-6.00	28.75	30.84	5200	11.3	2.2
Cole Beasley	WR	DAL	@HOU	150	45.50	3.50	21.00	13.58	3700	10.4	2.8
Alfred Blue	RB	HOU	DAL	-180	45.50	-3.50	24.50	3.84	3900	10.1	2.6
Paul Richardson	WR	WAS	@NO	220	51.50	6.00	22.75	39.87	4200	9.9	2.3
Keke Coutee	WR	HOU	DAL	-180	45.50	-3.50	24.50	3.78	4800	9.5	2.0
Ben Watson	TE	NO	WAS	-270	51.50	-6.00	28.75	27.74	3100	8.4	2.7
Tavon Austin	WR	DAL	@HOU	150	45.50	3.50	21.00	6.46	3500	8.4	2.4
Cameron Meredith	WR	NO	WAS	-270	51.50	-6.00	28.75	28.74	3600	7.9	2.2
Geoff Swaim	TE	DAL	@HOU	150	45.50	3.50	21.00	11.25	2800	7.5	2.7
Houston Texans	D	HOU	DAL	150	45.50	3.50	21.00	0.00	2900	7.3	2.5
Michael Gallup	WR	DAL	@HOU	150	45.50	3.50	21.00	5.06	3400	7.3	2.1
Tyler Ervin	RB	HOU	DAL	-180	45.50	-3.50	24.50	1.67	3000	6.9	2.3
Josh Doctson	WR	WAS	@NO	220	51.50	6.00	22.75	19.31	3700	6.6	1.8
New Orleans Saints	D	NO	WAS	220	51.50	6.00	22.75	0.00	2300	6.3	2.7
Dallas Cowboys	D	DAL	@HOU	-180	45.50	-3.50	24.50	0.00	2400	5.7	2.4
Ryan Griffin	TE	HOU	DAL	-180	45.50	-3.50	24.50	4.71	2500	5.6	2.3
Allen Hurns	WR	DAL	@HOU	150	45.50	3.50	21.00	1.96	3500	5.4	1.6
Vernon Davis	TE	WAS	@NO	220	51.50	6.00	22.75	13.03	2800	4.6	1.6
Washington Redskins	D	WAS	@NO	-270	51.50	-6.00	28.75	0.00	2000	4.2	2.1
Rod Smith	RB	DAL	@HOU	150	45.50	3.50	21.00	0.53	4000	4.1	1.0
Jordan Thomas	TE	HOU	DAL	-180	45.50	-3.50	24.50	1.99	2500	3.9	1.6
Deonte Thompson	WR	DAL	@HOU	150	45.50	3.50	21.00	0.47	3400	3.2	0.9
Austin Carr	WR	NO	WAS	-270	51.50	-6.00	28.75	6.50	3000	3.2	1.1
Jordan Akins	TE	HOU	DAL	-180	45.50	-3.50	24.50	1.05	2500	3.0	1.2
Tre'Quan Smith	WR	NO	WAS	-270	51.50	-6.00	28.75	5.14	3200	2.7	0.8
Brice Butler	WR	DAL	@HOU	150	45.50	3.50	21.00	0.28	3000	2.5	0.8
Josh Hill	TE	NO	WAS	-270	51.50	-6.00	28.75	5.77	2500	2.0	0.8
Sammie Coates	WR	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3000	1.2	0.4
Lamar Miller	RB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	4500	1.1	0.2
Samaje Perine	RB	WAS	@NO	220	51.50	6.00	22.75	1.43	3200	0.9	0.3
Taysom Hill	QB	NO	WAS	-270	51.50	-6.00	28.75	0.11	4000	0.5	0.1
Jeremy Sprinkle	TE	WAS	@NO	220	51.50	6.00	22.75	2.74	2500	0.4	0.1
Maurice Harris	WR	WAS	@NO	220	51.50	6.00	22.75	1.49	3000	0.3	0.1
Rico Gathers	TE	DAL	@HOU	150	45.50	3.50	21.00	0.13	2500	0.3	0.1
Blake Jarwin	TE	DAL	@HOU	150	45.50	3.50	21.00	0.11	2500	0.2	0.1
Brian Quick	WR	WAS	@NO	220	51.50	6.00	22.75	1.32	3000	0.2	0.1
Kapri Bibbs	RB	WAS	@NO	220	51.50	6.00	22.75	0.87	3000	0.1	0.0
Zach Line	RB	NO	WAS	-270	51.50	-6.00	28.75	0.00	3000	0.0	0.0
Vyncint Smith	WR	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3000	0.0	0.0
Buddy Howell	RB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3000	0.0	0.0
Terrance Williams	WR	DAL	@HOU	150	45.50	3.50	21.00	0.00	3000	0.0	0.0
Ted Ginn	WR	NO	WAS	-270	51.50	-6.00	28.75	0.00	4400	0.0	0.0
Joe Webb	QB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	4000	0.0	0.0
Rob Kelley	RB	WAS	@NO	220	51.50	6.00	22.75	0.00	3000	0.0	0.0
Jamize Olawale	RB	DAL	@HOU	150	45.50	3.50	21.00	0.00	3000	0.0	0.0
Bruce Ellington	WR	HOU	DAL	-180	45.50	-3.50	24.50	0.00	3200	0.0	0.0
Mike White	QB	DAL	@HOU	150	45.50	3.50	21.00	0.00	4000	0.0	0.0
Teddy Bridgewater	QB	NO	WAS	-270	51.50	-6.00	28.75	0.00	4500	0.0	0.0
Michael Floyd	WR	WAS	@NO	220	51.50	6.00	22.75	0.00	3000	0.0	0.0
Cooper Rush	QB	DAL	@HOU	150	45.50	3.50	21.00	0.00	4200	0.0	0.0
Noah Brown	WR	DAL	@HOU	150	45.50	3.50	21.00	0.00	3000	0.0	0.0
Byron Marshall	RB	WAS	@NO	220	51.50	6.00	22.75	0.00	3000	0.0	0.0
Dan Arnold	TE	NO	WAS	-270	51.50	-6.00	28.75	0.00	2500	0.0	0.0
Colt McCoy	QB	WAS	@NO	220	51.50	6.00	22.75	0.00	4300	0.0	0.0
Brandon Weeden	QB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	4200	0.0	0.0
D'Onta Foreman	RB	HOU	DAL	-180	45.50	-3.50	24.50	0.00	4000	0.0	0.0
Dwayne Washington	RB	NO	WAS	-270	51.50	-6.00	28.75	0.00	3000	0.0	0.0
Dalton Schultz	TE	DAL	@HOU	150	45.50	3.50	21.00	0.00	2500	0.0	0.0
