PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Michael Thomas	WR	NO	@NYG	-170	53.00	0.00	26.50	11.21	9100	37.6	4.1
Drew Brees	QB	NO	@NYG	-170	53.00	0.00	26.50	5.43	6600	11.1	1.7
Alvin Kamara	RB	NO	@NYG	-170	53.00	0.00	26.50	15.54	9600	23.0	2.4
Odell Beckham	WR	NYG	NO	145	53.00	0.00	26.50	8.81	8700	30.9	3.6
Patrick Mahomes	QB	KC	@DEN	-195	54.50	0.00	27.25	7.81	6800	12.8	1.9
Ben Roethlisberger	QB	PIT	BAL	-160	51.00	-3.00	27.00	5.60	6000	11.8	2.0
Philip Rivers	QB	LAC	SF	-480	46.00	-10.00	28.00	6.43	6500	10.7	1.6
Aaron Rodgers	QB	GB	BUF	-420	44.00	-9.50	26.75	7.08	6800	11.8	1.7
Deshaun Watson	QB	HOU	@IND	0	0.00	0.00	0.00	4.24	6300	13.5	2.2
Tom Brady	QB	NE	MIA	-280	49.50	-6.50	28.00	6.92	6700	10.8	1.6
Russell Wilson	QB	SEA	@ARI	-190	40.00	0.00	20.00	1.53	5600	11.9	2.1
Saquon Barkley	RB	NYG	NO	145	53.00	0.00	26.50	8.32	8100	21.7	2.7
Antonio Brown	WR	PIT	BAL	-160	51.00	-3.00	27.00	9.30	8800	29.3	3.3
Matt Ryan	QB	ATL	CIN	-195	52.50	-3.50	28.00	6.24	6100	11.9	2.0
Ezekiel Elliott	RB	DAL	DET	-145	44.00	-2.50	23.25	7.93	7700	28.7	3.7
Andrew Luck	QB	IND	HOU	0	0.00	0.00	0.00	3.14	5500	11.8	2.2
James Conner	RB	PIT	BAL	-160	51.00	-3.00	27.00	10.77	7500	23.6	3.2
Andy Dalton	QB	CIN	@ATL	165	52.50	3.50	24.50	6.07	5400	10.7	2.0
Melvin Gordon	RB	LAC	SF	-480	46.00	-10.00	28.00	13.42	8300	18.5	2.2
Ryan Fitzpatrick	QB	TB	@CHI	125	46.00	3.00	21.50	3.19	6200	13.3	2.1
DeAndre Hopkins	WR	HOU	@IND	0	0.00	0.00	0.00	6.20	8400	29.3	3.5
Carson Wentz	QB	PHI	@TEN	-160	41.00	0.00	20.50	1.18	5800	10.9	1.9
Matthew Stafford	QB	DET	@DAL	125	44.00	2.50	20.75	2.57	5700	10.7	1.9
Ryan Tannehill	QB	MIA	@NE	230	49.50	6.50	21.50	5.04	5500	12.7	2.3
Eli Manning	QB	NYG	NO	145	53.00	0.00	26.50	2.73	5600	11.0	2.0
Case Keenum	QB	DEN	KC	165	54.50	0.00	27.25	3.45	5600	11.0	2.0
Julio Jones	WR	ATL	CIN	-195	52.50	-3.50	28.00	9.98	8200	10.0	1.2
Joe Flacco	QB	BAL	@PIT	135	51.00	3.00	24.00	4.23	5400	12.2	2.3
Giovani Bernard	RB	CIN	@ATL	165	52.50	3.50	24.50	11.82	6300	22.3	3.5
A.J. Green	WR	CIN	@ATL	165	52.50	3.50	24.50	9.02	7500	24.5	3.3
David Johnson	RB	ARI	SEA	160	40.00	0.00	20.00	2.70	6600	21.0	3.2
Blake Bortles	QB	JAX	NYJ	-350	39.50	-7.50	23.50	2.18	5200	13.4	2.6
Davante Adams	WR	GB	BUF	-420	44.00	-9.50	26.75	7.85	7800	27.7	3.6
JuJu Smith-Schuster	WR	PIT	BAL	-160	51.00	-3.00	27.00	7.38	7100	28.5	4.0
Mike Evans	WR	TB	@CHI	125	46.00	3.00	21.50	4.70	7900	28.9	3.7
Keenan Allen	WR	LAC	SF	-480	46.00	-10.00	28.00	8.81	8300	26.7	3.2
Baker Mayfield	QB	CLE	@OAK	115	44.00	2.50	20.75	1.96	5300	0.0	0.0
Josh Allen	QB	BUF	@GB	320	44.00	9.50	17.25	3.46	5100	14.9	2.9
Derek Carr	QB	OAK	CLE	-135	44.00	-2.50	23.25	1.99	5100	10.7	2.1
Kareem Hunt	RB	KC	@DEN	-195	54.50	0.00	27.25	5.08	6500	19.9	3.1
Tyreek Hill	WR	KC	@DEN	-195	54.50	0.00	27.25	4.28	8100	10.5	1.3
Marcus Mariota	QB	TEN	PHI	135	41.00	0.00	20.50	0.73	5000	12.3	2.5
Jordan Howard	RB	CHI	TB	-145	46.00	-3.00	24.50	8.04	6800	21.4	3.2
Mitchell Trubisky	QB	CHI	TB	-145	46.00	-3.00	24.50	2.17	5200	13.1	2.5
T.Y. Hilton	WR	IND	HOU	0	0.00	0.00	0.00	4.62	7000	26.6	3.8
Jarvis Landry	WR	CLE	@OAK	115	44.00	2.50	20.75	4.89	7400	29.7	4.0
Dak Prescott	QB	DAL	DET	-145	44.00	-2.50	23.25	1.62	5300	14.4	2.7
Travis Kelce	TE	KC	@DEN	-195	54.50	0.00	27.25	5.28	6800	27.8	4.1
Leonard Fournette	RB	JAX	NYJ	-350	39.50	-7.50	23.50	4.62	7000	18.6	2.7
Rob Gronkowski	TE	NE	MIA	-280	49.50	-6.50	28.00	6.39	7000	25.3	3.6
Tevin Coleman	RB	ATL	CIN	-195	52.50	-3.50	28.00	10.52	5900	22.2	3.8
Larry Fitzgerald	WR	ARI	SEA	160	40.00	0.00	20.00	2.30	5000	23.3	4.7
Sony Michel	RB	NE	MIA	-280	49.50	-6.50	28.00	12.31	4500	20.4	4.5
Emmanuel Sanders	WR	DEN	KC	165	54.50	0.00	27.25	5.93	6900	10.0	1.5
Zach Ertz	TE	PHI	@TEN	-160	41.00	0.00	20.50	2.96	6200	26.7	4.3
Golden Tate	WR	DET	@DAL	125	44.00	2.50	20.75	3.12	6600	10.0	1.5
James White	RB	NE	MIA	-280	49.50	-6.50	28.00	9.39	5400	13.3	2.5
Chris Carson	RB	SEA	@ARI	-190	40.00	0.00	20.00	2.20	4600	18.2	4.0
Carlos Hyde	RB	CLE	@OAK	115	44.00	2.50	20.75	5.42	5500	19.4	3.5
Lamar Miller	RB	HOU	@IND	0	0.00	0.00	0.00	5.93	5000	18.9	3.8
Will Fuller	WR	HOU	@IND	0	0.00	0.00	0.00	3.69	6800	26.0	3.8
Sterling Shepard	WR	NYG	NO	145	53.00	0.00	26.50	4.86	4900	25.5	5.2
Javorius Allen	RB	BAL	@PIT	135	51.00	3.00	24.00	8.04	4700	13.7	2.9
C.J. Beathard	QB	SF	@LAC	360	46.00	10.00	18.00	2.04	4600	11.5	2.5
Allen Robinson	WR	CHI	TB	-145	46.00	-3.00	24.50	4.79	5900	25.7	4.4
Amari Cooper	WR	OAK	CLE	-135	44.00	-2.50	23.25	3.23	5600	21.6	3.9
Tyler Lockett	WR	SEA	@ARI	-190	40.00	0.00	20.00	1.44	5100	10.0	2.0
Marshawn Lynch	RB	OAK	CLE	-135	44.00	-2.50	23.25	4.10	4800	20.2	4.2
Mike Williams	WR	LAC	SF	-480	46.00	-10.00	28.00	8.25	4500	21.3	4.7
Michael Crabtree	WR	BAL	@PIT	135	51.00	3.00	24.00	4.92	5500	23.0	4.2
Josh Rosen	QB	ARI	SEA	160	40.00	0.00	20.00	0.27	4500	0.0	0.0
Tyler Boyd	WR	CIN	@ATL	165	52.50	3.50	24.50	6.88	4600	21.8	4.8
Randall Cobb	WR	GB	BUF	-420	44.00	-9.50	26.75	5.98	5100	10.0	2.0
Nelson Agholor	WR	PHI	@TEN	-160	41.00	0.00	20.50	1.33	5700	10.0	1.8
Alex Collins	RB	BAL	@PIT	135	51.00	3.00	24.00	5.81	5100	20.7	4.1
Kenny Golladay	WR	DET	@DAL	125	44.00	2.50	20.75	2.28	6500	24.4	3.8
Demaryius Thomas	WR	DEN	KC	165	54.50	0.00	27.25	5.05	5500	21.2	3.8
Kenyan Drake	RB	MIA	@NE	230	49.50	6.50	21.50	9.01	5200	15.8	3.0
Chris Hogan	WR	NE	MIA	-280	49.50	-6.50	28.00	5.46	5800	19.0	3.3
Sammy Watkins	WR	KC	@DEN	-195	54.50	0.00	27.25	3.17	5300	10.1	1.9
Keelan Cole	WR	JAX	NYJ	-350	39.50	-7.50	23.50	3.20	5400	20.8	3.8
Calvin Ridley	WR	ATL	CIN	-195	52.50	-3.50	28.00	6.78	4900	19.9	4.1
Royce Freeman	RB	DEN	KC	165	54.50	0.00	27.25	8.05	4400	17.1	3.9
Jimmy Graham	TE	GB	BUF	-420	44.00	-9.50	26.75	5.42	4500	20.1	4.5
Marvin Jones	WR	DET	@DAL	125	44.00	2.50	20.75	2.58	5200	24.1	4.6
Corey Davis	WR	TEN	PHI	135	41.00	0.00	20.50	0.98	5300	23.2	4.4
Jordy Nelson	WR	OAK	CLE	-135	44.00	-2.50	23.25	3.11	4700	21.0	4.5
Sam Darnold	QB	NYJ	@JAX	280	39.50	7.50	16.00	0.69	4500	11.3	2.5
Quincy Enunwa	WR	NYJ	@JAX	280	39.50	7.50	16.00	2.86	4300	24.2	5.6
Antonio Callaway	WR	CLE	@OAK	115	44.00	2.50	20.75	3.78	4300	0.0	0.0
Jay Ajayi	RB	PHI	@TEN	-160	41.00	0.00	20.50	0.95	5500	19.2	3.5
John Brown	WR	BAL	@PIT	135	51.00	3.00	24.00	3.81	5800	20.9	3.6
Phillip Lindsay	RB	DEN	KC	165	54.50	0.00	27.25	6.66	4500	0.0	0.0
Taylor Gabriel	WR	CHI	TB	-145	46.00	-3.00	24.50	5.13	3900	21.7	5.6
Geronimo Allison	WR	GB	BUF	-420	44.00	-9.50	26.75	4.89	4700	21.0	4.5
LeSean McCoy	RB	BUF	@GB	320	44.00	9.50	17.25	4.97	5600	17.2	3.1
