PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Michael Thomas	WR	NO	@NYG	-170	53.00	0.00	26.50	11.21	9100	19.6	2.2
Drew Brees	QB	NO	@NYG	-170	53.00	0.00	26.50	5.43	6600	19.1	2.9
Alvin Kamara	RB	NO	@NYG	-170	53.00	0.00	26.50	15.54	9600	24.8	2.6
Odell Beckham	WR	NYG	NO	145	53.00	0.00	26.50	8.81	8700	17.2	2.0
Patrick Mahomes	QB	KC	@DEN	-195	54.50	0.00	27.25	7.81	6800	19.7	2.9
Ben Roethlisberger	QB	PIT	BAL	-160	51.00	-3.00	27.00	5.60	6000	18.5	3.1
Philip Rivers	QB	LAC	SF	-480	46.00	-10.00	28.00	6.43	6500	19.7	3.0
Aaron Rodgers	QB	GB	BUF	-420	44.00	-9.50	26.75	7.08	6800	20.8	3.1
Deshaun Watson	QB	HOU	@IND	0	0.00	0.00	0.00	4.24	6300	19.6	3.1
Tom Brady	QB	NE	MIA	-280	49.50	-6.50	28.00	6.92	6700	20.5	3.1
Russell Wilson	QB	SEA	@ARI	-190	40.00	0.00	20.00	1.53	5600	18.0	3.2
Saquon Barkley	RB	NYG	NO	145	53.00	0.00	26.50	8.32	8100	22.9	2.8
Antonio Brown	WR	PIT	BAL	-160	51.00	-3.00	27.00	9.30	8800	20.7	2.3
Matt Ryan	QB	ATL	CIN	-195	52.50	-3.50	28.00	6.24	6100	16.5	2.7
Ezekiel Elliott	RB	DAL	DET	-145	44.00	-2.50	23.25	7.93	7700	23.2	3.0
Andrew Luck	QB	IND	HOU	0	0.00	0.00	0.00	3.14	5500	18.7	3.4
James Conner	RB	PIT	BAL	-160	51.00	-3.00	27.00	10.77	7500	17.1	2.3
Andy Dalton	QB	CIN	@ATL	165	52.50	3.50	24.50	6.07	5400	18.7	3.5
Melvin Gordon	RB	LAC	SF	-480	46.00	-10.00	28.00	13.42	8300	18.4	2.2
Ryan Fitzpatrick	QB	TB	@CHI	125	46.00	3.00	21.50	3.19	6200	17.5	2.8
DeAndre Hopkins	WR	HOU	@IND	0	0.00	0.00	0.00	6.20	8400	20.2	2.4
Carson Wentz	QB	PHI	@TEN	-160	41.00	0.00	20.50	1.18	5800	17.5	3.0
Matthew Stafford	QB	DET	@DAL	125	44.00	2.50	20.75	2.57	5700	16.8	3.0
Ryan Tannehill	QB	MIA	@NE	230	49.50	6.50	21.50	5.04	5500	17.7	3.2
Eli Manning	QB	NYG	NO	145	53.00	0.00	26.50	2.73	5600	14.7	2.6
Case Keenum	QB	DEN	KC	165	54.50	0.00	27.25	3.45	5600	16.5	3.0
Julio Jones	WR	ATL	CIN	-195	52.50	-3.50	28.00	9.98	8200	17.6	2.2
Joe Flacco	QB	BAL	@PIT	135	51.00	3.00	24.00	4.23	5400	18.7	3.5
Giovani Bernard	RB	CIN	@ATL	165	52.50	3.50	24.50	11.82	6300	15.2	2.4
A.J. Green	WR	CIN	@ATL	165	52.50	3.50	24.50	9.02	7500	19.8	2.6
David Johnson	RB	ARI	SEA	160	40.00	0.00	20.00	2.70	6600	18.0	2.7
Blake Bortles	QB	JAX	NYJ	-350	39.50	-7.50	23.50	2.18	5200	16.2	3.1
Davante Adams	WR	GB	BUF	-420	44.00	-9.50	26.75	7.85	7800	17.1	2.2
JuJu Smith-Schuster	WR	PIT	BAL	-160	51.00	-3.00	27.00	7.38	7100	16.1	2.3
Mike Evans	WR	TB	@CHI	125	46.00	3.00	21.50	4.70	7900	16.6	2.1
Keenan Allen	WR	LAC	SF	-480	46.00	-10.00	28.00	8.81	8300	18.2	2.2
Baker Mayfield	QB	CLE	@OAK	115	44.00	2.50	20.75	1.96	5300	0.0	0.0
Josh Allen	QB	BUF	@GB	320	44.00	9.50	17.25	3.46	5100	15.4	3.0
Derek Carr	QB	OAK	CLE	-135	44.00	-2.50	23.25	1.99	5100	15.2	3.0
Kareem Hunt	RB	KC	@DEN	-195	54.50	0.00	27.25	5.08	6500	13.2	2.0
Tyreek Hill	WR	KC	@DEN	-195	54.50	0.00	27.25	4.28	8100	15.4	1.9
Marcus Mariota	QB	TEN	PHI	135	41.00	0.00	20.50	0.73	5000	13.3	2.7
Jordan Howard	RB	CHI	TB	-145	46.00	-3.00	24.50	8.04	6800	16.5	2.4
Mitchell Trubisky	QB	CHI	TB	-145	46.00	-3.00	24.50	2.17	5200	18.0	3.5
T.Y. Hilton	WR	IND	HOU	0	0.00	0.00	0.00	4.62	7000	14.8	2.1
Jarvis Landry	WR	CLE	@OAK	115	44.00	2.50	20.75	4.89	7400	15.1	2.0
Dak Prescott	QB	DAL	DET	-145	44.00	-2.50	23.25	1.62	5300	17.0	3.2
Travis Kelce	TE	KC	@DEN	-195	54.50	0.00	27.25	5.28	6800	16.2	2.4
Leonard Fournette	RB	JAX	NYJ	-350	39.50	-7.50	23.50	4.62	7000	14.3	2.1
Rob Gronkowski	TE	NE	MIA	-280	49.50	-6.50	28.00	6.39	7000	19.2	2.7
Tevin Coleman	RB	ATL	CIN	-195	52.50	-3.50	28.00	10.52	5900	18.4	3.1
Larry Fitzgerald	WR	ARI	SEA	160	40.00	0.00	20.00	2.30	5000	13.2	2.6
Sony Michel	RB	NE	MIA	-280	49.50	-6.50	28.00	12.31	4500	14.6	3.2
Emmanuel Sanders	WR	DEN	KC	165	54.50	0.00	27.25	5.93	6900	14.0	2.0
Zach Ertz	TE	PHI	@TEN	-160	41.00	0.00	20.50	2.96	6200	15.7	2.5
Golden Tate	WR	DET	@DAL	125	44.00	2.50	20.75	3.12	6600	15.2	2.3
James White	RB	NE	MIA	-280	49.50	-6.50	28.00	9.39	5400	13.0	2.4
Chris Carson	RB	SEA	@ARI	-190	40.00	0.00	20.00	2.20	4600	14.2	3.1
Carlos Hyde	RB	CLE	@OAK	115	44.00	2.50	20.75	5.42	5500	11.6	2.1
Lamar Miller	RB	HOU	@IND	0	0.00	0.00	0.00	5.93	5000	15.0	3.0
