PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Michael Thomas	WR	NO	@NYG	-170	53.00	0.00	26.50	11.21	9100	26.5	2.9
Drew Brees	QB	NO	@NYG	-170	53.00	0.00	26.50	5.43	6600	26.0	3.9
Alvin Kamara	RB	NO	@NYG	-170	53.00	0.00	26.50	15.54	9600	25.6	2.7
Odell Beckham	WR	NYG	NO	145	53.00	0.00	26.50	8.81	8700	25.1	2.9
Patrick Mahomes	QB	KC	@DEN	-195	54.50	0.00	27.25	7.81	6800	23.9	3.5
Ben Roethlisberger	QB	PIT	BAL	-160	51.00	-3.00	27.00	5.60	6000	23.3	3.9
Philip Rivers	QB	LAC	SF	-480	46.00	-10.00	28.00	6.43	6500	23.1	3.6
Aaron Rodgers	QB	GB	BUF	-420	44.00	-9.50	26.75	7.08	6800	22.2	3.3
Deshaun Watson	QB	HOU	@IND	0	0.00	0.00	0.00	4.24	6300	22.2	3.5
Tom Brady	QB	NE	MIA	-280	49.50	-6.50	28.00	6.92	6700	20.6	3.1
Russell Wilson	QB	SEA	@ARI	-190	40.00	0.00	20.00	1.53	5600	20.5	3.7
Saquon Barkley	RB	NYG	NO	145	53.00	0.00	26.50	8.32	8100	20.5	2.5
Antonio Brown	WR	PIT	BAL	-160	51.00	-3.00	27.00	9.30	8800	20.0	2.3
Matt Ryan	QB	ATL	CIN	-195	52.50	-3.50	28.00	6.24	6100	20.0	3.3
Ezekiel Elliott	RB	DAL	DET	-145	44.00	-2.50	23.25	7.93	7700	19.8	2.6
Andrew Luck	QB	IND	HOU	0	0.00	0.00	0.00	3.14	5500	19.7	3.6
James Conner	RB	PIT	BAL	-160	51.00	-3.00	27.00	10.77	7500	19.7	2.6
Andy Dalton	QB	CIN	@ATL	165	52.50	3.50	24.50	6.07	5400	19.6	3.6
Melvin Gordon	RB	LAC	SF	-480	46.00	-10.00	28.00	13.42	8300	19.4	2.3
Ryan Fitzpatrick	QB	TB	@CHI	125	46.00	3.00	21.50	3.19	6200	18.9	3.1
DeAndre Hopkins	WR	HOU	@IND	0	0.00	0.00	0.00	6.20	8400	18.9	2.2
Carson Wentz	QB	PHI	@TEN	-160	41.00	0.00	20.50	1.18	5800	18.8	3.3
Matthew Stafford	QB	DET	@DAL	125	44.00	2.50	20.75	2.57	5700	18.7	3.3
Ryan Tannehill	QB	MIA	@NE	230	49.50	6.50	21.50	5.04	5500	18.4	3.3
Eli Manning	QB	NYG	NO	145	53.00	0.00	26.50	2.73	5600	18.3	3.3
