Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Ben Roethlisberger (11394802),Ben Roethlisberger,11394802,CPT,17400,ATL@PIT 10/07/2018 01:00PM ET,PIT,25.72
QB,Matt Ryan (11394803),Matt Ryan,11394803,CPT,17100,ATL@PIT 10/07/2018 01:00PM ET,ATL,29.24
WR,Antonio Brown (11394804),Antonio Brown,11394804,CPT,16200,ATL@PIT 10/07/2018 01:00PM ET,PIT,18.55
WR,Julio Jones (11394805),Julio Jones,11394805,CPT,15900,ATL@PIT 10/07/2018 01:00PM ET,ATL,21.58
WR,JuJu Smith-Schuster (11394806),JuJu Smith-Schuster,11394806,CPT,14400,ATL@PIT 10/07/2018 01:00PM ET,PIT,21.9
RB,James Conner (11394807),James Conner,11394807,CPT,13200,ATL@PIT 10/07/2018 01:00PM ET,PIT,20.4
WR,Calvin Ridley (11394808),Calvin Ridley,11394808,CPT,12300,ATL@PIT 10/07/2018 01:00PM ET,ATL,20.42
QB,Ben Roethlisberger (11394764),Ben Roethlisberger,11394764,FLEX,11600,ATL@PIT 10/07/2018 01:00PM ET,PIT,25.72
QB,Matt Ryan (11394765),Matt Ryan,11394765,FLEX,11400,ATL@PIT 10/07/2018 01:00PM ET,ATL,29.24
WR,Antonio Brown (11394766),Antonio Brown,11394766,FLEX,10800,ATL@PIT 10/07/2018 01:00PM ET,PIT,18.55
QB,Matt Schaub (11394809),Matt Schaub,11394809,CPT,10800,ATL@PIT 10/07/2018 01:00PM ET,ATL,0
QB,Joshua Dobbs (11394810),Joshua Dobbs,11394810,CPT,10800,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
QB,Mason Rudolph (11394811),Mason Rudolph,11394811,CPT,10800,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
WR,Julio Jones (11394767),Julio Jones,11394767,FLEX,10600,ATL@PIT 10/07/2018 01:00PM ET,ATL,21.58
RB,Devonta Freeman (11394812),Devonta Freeman,11394812,CPT,10200,ATL@PIT 10/07/2018 01:00PM ET,ATL,8
RB,Tevin Coleman (11394813),Tevin Coleman,11394813,CPT,9900,ATL@PIT 10/07/2018 01:00PM ET,ATL,13.6
WR,JuJu Smith-Schuster (11394768),JuJu Smith-Schuster,11394768,FLEX,9600,ATL@PIT 10/07/2018 01:00PM ET,PIT,21.9
RB,James Conner (11394769),James Conner,11394769,FLEX,8800,ATL@PIT 10/07/2018 01:00PM ET,PIT,20.4
WR,Mohamed Sanu (11394814),Mohamed Sanu,11394814,CPT,8700,ATL@PIT 10/07/2018 01:00PM ET,ATL,11.25
WR,Calvin Ridley (11394770),Calvin Ridley,11394770,FLEX,8200,ATL@PIT 10/07/2018 01:00PM ET,ATL,20.42
TE,Vance McDonald (11394815),Vance McDonald,11394815,CPT,8100,ATL@PIT 10/07/2018 01:00PM ET,PIT,13.33
QB,Matt Schaub (11394771),Matt Schaub,11394771,FLEX,7200,ATL@PIT 10/07/2018 01:00PM ET,ATL,0
QB,Joshua Dobbs (11394772),Joshua Dobbs,11394772,FLEX,7200,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
QB,Mason Rudolph (11394773),Mason Rudolph,11394773,FLEX,7200,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
RB,Devonta Freeman (11394774),Devonta Freeman,11394774,FLEX,6800,ATL@PIT 10/07/2018 01:00PM ET,ATL,8
RB,Tevin Coleman (11394775),Tevin Coleman,11394775,FLEX,6600,ATL@PIT 10/07/2018 01:00PM ET,ATL,13.6
TE,Austin Hooper (11394816),Austin Hooper,11394816,CPT,6300,ATL@PIT 10/07/2018 01:00PM ET,ATL,8.12
WR,Mohamed Sanu (11394776),Mohamed Sanu,11394776,FLEX,5800,ATL@PIT 10/07/2018 01:00PM ET,ATL,11.25
