PLAYER	POS	REAL POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
												
Ben Roethlisberger	UT	QB	PIT	ATL	-185	57.00	-3.50	30.25	16.36	11600	11.8	1.0
Matt Ryan	UT	QB	ATL	@PIT	155	57.00	3.50	26.75	15.32	11400	11.8	1.0
Antonio Brown	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	15.36	10800	30.2	2.8
Tom Brady	UT	QB	NE	IND	-630	49.50	-10.50	30.00	19.47	13000	11.1	0.9
Julio Jones	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	14.23	10600	10.0	0.9
Drew Brees	UT	QB	NO	WAS	-270	52.50	-6.00	29.25	12.77	11200	11.4	1.0
Alvin Kamara	UT	RB	NO	WAS	-270	52.50	-6.00	29.25	14.86	12400	22.1	1.8
Deshaun Watson	UT	QB	HOU	DAL	-170	45.50	-3.00	24.25	4.56	12200	14.0	1.2
Andrew Luck	UT	QB	IND	@NE	465	49.50	10.50	19.50	17.95	11400	11.8	1.0
Michael Thomas	UT	WR	NO	WAS	-270	52.50	-6.00	29.25	12.86	11400	30.3	2.7
Kirk Cousins	UT	QB	MIN	@PHI	145	47.00	3.00	22.00	4.71	11600	12.5	1.1
Carson Wentz	UT	QB	PHI	MIN	-170	47.00	-3.00	25.00	3.62	11400	11.2	1.0
Alex Smith	UT	QB	WAS	@NO	220	52.50	6.00	23.25	12.15	9800	12.8	1.3
DeAndre Hopkins	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	3.38	11000	28.2	2.6
Ezekiel Elliott	UT	RB	DAL	@HOU	145	45.50	3.00	21.25	5.16	11400	23.4	2.1
Adam Thielen	UT	WR	MIN	@PHI	145	47.00	3.00	22.00	4.10	11000	30.3	2.8
James Conner	UT	RB	PIT	ATL	-185	57.00	-3.50	30.25	12.62	8800	22.1	2.5
Dak Prescott	UT	QB	DAL	@HOU	145	45.50	3.00	21.25	4.34	9600	14.3	1.5
Stefon Diggs	UT	WR	MIN	@PHI	145	47.00	3.00	22.00	3.31	9800	10.0	1.0
JuJu Smith-Schuster	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	11.26	9600	28.7	3.0
Devonta Freeman	UT	RB	ATL	@PIT	155	57.00	3.50	26.75	9.94	6800	16.4	2.4
Zach Ertz	UT	TE	PHI	MIN	-170	47.00	-3.00	25.00	2.20	8200	25.5	3.1
Sony Michel	UT	RB	NE	IND	-630	49.50	-10.50	30.00	12.42	7200	21.3	3.0
Chris Thompson	UT	RB	WAS	@NO	220	52.50	6.00	23.25	9.24	8400	12.7	1.5
