PLAYER	POS	REAL POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
												
Ben Roethlisberger	UT	QB	PIT	ATL	-185	57.00	-3.50	30.25	16.36	11600	25.9	2.2
Matt Ryan	UT	QB	ATL	@PIT	155	57.00	3.50	26.75	15.32	11400	25.2	2.2
Antonio Brown	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	15.36	10800	24.8	2.3
Tom Brady	UT	QB	NE	IND	-630	49.50	-10.50	30.00	19.47	13000	24.7	1.9
Julio Jones	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	14.23	10600	24.0	2.3
Drew Brees	UT	QB	NO	WAS	-270	52.50	-6.00	29.25	12.77	11200	24.0	2.1
Alvin Kamara	UT	RB	NO	WAS	-270	52.50	-6.00	29.25	14.86	12400	23.7	1.9
Deshaun Watson	UT	QB	HOU	DAL	-170	45.50	-3.00	24.25	4.56	12200	22.1	1.8
Andrew Luck	UT	QB	IND	@NE	465	49.50	10.50	19.50	17.95	11400	21.3	1.9
Michael Thomas	UT	WR	NO	WAS	-270	52.50	-6.00	29.25	12.86	11400	21.1	1.9
Kirk Cousins	UT	QB	MIN	@PHI	145	47.00	3.00	22.00	4.71	11600	20.2	1.7
Carson Wentz	UT	QB	PHI	MIN	-170	47.00	-3.00	25.00	3.62	11400	19.6	1.7
Alex Smith	UT	QB	WAS	@NO	220	52.50	6.00	23.25	12.15	9800	18.9	1.9
DeAndre Hopkins	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	3.38	11000	18.9	1.7
Ezekiel Elliott	UT	RB	DAL	@HOU	145	45.50	3.00	21.25	5.16	11400	18.7	1.6
Adam Thielen	UT	WR	MIN	@PHI	145	47.00	3.00	22.00	4.10	11000	18.7	1.7
James Conner	UT	RB	PIT	ATL	-185	57.00	-3.50	30.25	12.62	8800	18.5	2.1
Dak Prescott	UT	QB	DAL	@HOU	145	45.50	3.00	21.25	4.34	9600	17.1	1.8
Stefon Diggs	UT	WR	MIN	@PHI	145	47.00	3.00	22.00	3.31	9800	16.8	1.7
JuJu Smith-Schuster	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	11.26	9600	15.8	1.7
Devonta Freeman	UT	RB	ATL	@PIT	155	57.00	3.50	26.75	9.94	6800	15.5	2.3
Zach Ertz	UT	TE	PHI	MIN	-170	47.00	-3.00	25.00	2.20	8200	15.4	1.9
Sony Michel	UT	RB	NE	IND	-630	49.50	-10.50	30.00	12.42	7200	14.7	2.0
Chris Thompson	UT	RB	WAS	@NO	220	52.50	6.00	23.25	9.24	8400	14.2	1.7
James White	UT	RB	NE	IND	-630	49.50	-10.50	30.00	12.69	9400	14.0	1.5
Julian Edelman	UT	WR	NE	IND	-630	49.50	-10.50	30.00	11.84	7400	13.6	1.8
Calvin Ridley	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	9.11	8200	13.3	1.6
Adrian Peterson	UT	RB	WAS	@NO	220	52.50	6.00	23.25	8.42	7200	13.2	1.8
Jamison Crowder	UT	WR	WAS	@NO	220	52.50	6.00	23.25	8.01	6200	13.1	2.1
Alshon Jeffery	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	1.76	9000	13.1	1.5
Jordan Reed	UT	TE	WAS	@NO	220	52.50	6.00	23.25	8.46	7800	13.0	1.7
Will Fuller	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	1.76	8800	12.8	1.5
Rob Gronkowski	UT	TE	NE	IND	-630	49.50	-10.50	30.00	11.94	9800	12.6	1.3
Josh Gordon	UT	WR	NE	IND	-630	49.50	-10.50	30.00	11.12	7800	12.4	1.6
Jay Ajayi	UT	RB	PHI	MIN	-170	47.00	-3.00	25.00	1.45	6400	12.3	1.9
Chester Rogers	UT	WR	IND	@NE	465	49.50	10.50	19.50	10.18	6000	12.2	2.0
Nelson Agholor	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	1.50	7400	12.1	1.6
Eric Ebron	UT	TE	IND	@NE	465	49.50	10.50	19.50	10.08	6400	11.9	1.9
Mohamed Sanu	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	7.87	5800	11.9	2.0
Ryan Grant	UT	WR	IND	@NE	465	49.50	10.50	19.50	10.00	6200	11.8	1.9
Nyheim Hines	UT	RB	IND	@NE	465	49.50	10.50	19.50	9.88	6600	11.5	1.7
Mark Ingram	UT	RB	NO	WAS	-270	52.50	-6.00	29.25	6.70	7000	11.4	1.6
Dalvin Cook	UT	RB	MIN	@PHI	145	47.00	3.00	22.00	1.54	5600	10.9	1.9
Zach Pascal	UT	WR	IND	@NE	465	49.50	10.50	19.50	10.24	2000	10.7	5.4
Lamar Miller	UT	RB	HOU	DAL	-170	45.50	-3.00	24.25	1.13	6000	10.6	1.8
Cole Beasley	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	2.03	5600	10.5	1.9
Tevin Coleman	UT	RB	ATL	@PIT	155	57.00	3.50	26.75	7.23	6600	10.3	1.6
Kyle Rudolph	UT	TE	MIN	@PHI	145	47.00	3.00	22.00	1.45	6000	10.3	1.7
Jordan Matthews	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	1.11	2600	10.1	3.9
Paul Richardson	UT	WR	WAS	@NO	220	52.50	6.00	23.25	6.50	4800	9.9	2.1
Keke Coutee	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	1.03	6800	9.5	1.4
Chris Hogan	UT	WR	NE	IND	-630	49.50	-10.50	30.00	8.87	4800	9.4	2.0
