PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Ben Roethlisberger	QB	PIT	ATL	-180	58.00	-3.00	30.50	12.82	8400	11.7	1.4
Matt Ryan	QB	ATL	@PIT	150	58.00	3.00	27.50	11.90	8300	11.8	1.4
Todd Gurley	RB	LAR	@SEA	-340	50.00	0.00	25.00	15.62	9100	23.2	2.6
Cam Newton	QB	CAR	NYG	-275	43.50	-6.00	24.75	5.85	8400	17.4	2.1
Jared Goff	QB	LAR	@SEA	-340	50.00	0.00	25.00	3.76	8000	11.1	1.4
Aaron Rodgers	QB	GB	@DET	0	0.00	0.00	0.00	4.35	8400	12.0	1.4
Philip Rivers	QB	LAC	OAK	-235	52.50	-5.50	29.00	8.20	8200	11.0	1.3
Patrick Mahomes	QB	KC	JAX	-150	49.00	-3.00	26.00	5.78	8600	12.6	1.5
Kirk Cousins	QB	MIN	@PHI	145	46.50	3.00	21.75	4.87	7700	12.5	1.6
Christian McCaffrey	RB	CAR	NYG	-275	43.50	-6.00	24.75	21.98	8100	19.3	2.4
Carson Wentz	QB	PHI	MIN	-170	46.50	-3.00	24.75	4.02	7500	11.2	1.5
Blake Bortles	QB	JAX	@KC	130	49.00	3.00	23.00	5.05	7000	13.7	2.0
Matthew Stafford	QB	DET	GB	0	0.00	0.00	0.00	3.37	7600	10.7	1.4
Derek Carr	QB	OAK	@LAC	190	52.50	5.50	23.50	6.54	7000	10.7	1.5
Russell Wilson	QB	SEA	LAR	270	50.00	0.00	25.00	2.53	7200	11.6	1.6
Andy Dalton	QB	CIN	MIA	-265	48.50	-6.00	27.25	5.06	7500	10.7	1.4
Marcus Mariota	QB	TEN	@BUF	-250	39.50	0.00	19.75	1.40	6800	14.3	2.1
Melvin Gordon	RB	LAC	OAK	-235	52.50	-5.50	29.00	23.61	8700	19.2	2.2
Antonio Brown	WR	PIT	ATL	-180	58.00	-3.00	30.50	22.68	9000	26.4	2.9
Joe Flacco	QB	BAL	@CLE	-170	45.50	0.00	22.75	2.28	7200	12.5	1.7
Julio Jones	WR	ATL	@PIT	150	58.00	3.00	27.50	20.86	8800	10.0	1.1
James Conner	RB	PIT	ATL	-180	58.00	-3.00	30.50	18.97	7800	21.9	2.8
Ryan Tannehill	QB	MIA	@CIN	215	48.50	6.00	21.25	3.25	6600	12.5	1.9
Saquon Barkley	RB	NYG	@CAR	225	43.50	6.00	18.75	9.19	7900	20.6	2.6
Eli Manning	QB	NYG	@CAR	225	43.50	6.00	18.75	2.35	6500	11.0	1.7
C.J. Beathard	QB	SF	ARI	-195	40.00	-3.50	21.75	1.27	6300	12.4	2.0
