PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Ben Roethlisberger	QB	PIT	ATL	-180	58.00	-3.00	30.50	12.82	8400	21.1	2.5
Matt Ryan	QB	ATL	@PIT	150	58.00	3.00	27.50	11.90	8300	19.0	2.3
Todd Gurley	RB	LAR	@SEA	-340	50.00	0.00	25.00	15.62	9100	19.8	2.2
Cam Newton	QB	CAR	NYG	-275	43.50	-6.00	24.75	5.85	8400	22.1	2.6
Jared Goff	QB	LAR	@SEA	-340	50.00	0.00	25.00	3.76	8000	17.8	2.2
Aaron Rodgers	QB	GB	@DET	0	0.00	0.00	0.00	4.35	8400	20.2	2.4
Philip Rivers	QB	LAC	OAK	-235	52.50	-5.50	29.00	8.20	8200	17.9	2.2
Patrick Mahomes	QB	KC	JAX	-150	49.00	-3.00	26.00	5.78	8600	17.8	2.1
Kirk Cousins	QB	MIN	@PHI	145	46.50	3.00	21.75	4.87	7700	16.3	2.1
Christian McCaffrey	RB	CAR	NYG	-275	43.50	-6.00	24.75	21.98	8100	15.1	1.9
Carson Wentz	QB	PHI	MIN	-170	46.50	-3.00	24.75	4.02	7500	16.7	2.2
Blake Bortles	QB	JAX	@KC	130	49.00	3.00	23.00	5.05	7000	15.9	2.3
Matthew Stafford	QB	DET	GB	0	0.00	0.00	0.00	3.37	7600	19.8	2.6
Derek Carr	QB	OAK	@LAC	190	52.50	5.50	23.50	6.54	7000	14.6	2.1
Russell Wilson	QB	SEA	LAR	270	50.00	0.00	25.00	2.53	7200	18.0	2.5
Andy Dalton	QB	CIN	MIA	-265	48.50	-6.00	27.25	5.06	7500	19.4	2.6
Marcus Mariota	QB	TEN	@BUF	-250	39.50	0.00	19.75	1.40	6800	14.8	2.2
Melvin Gordon	RB	LAC	OAK	-235	52.50	-5.50	29.00	23.61	8700	17.7	2.0
Antonio Brown	WR	PIT	ATL	-180	58.00	-3.00	30.50	22.68	9000	20.2	2.2
Joe Flacco	QB	BAL	@CLE	-170	45.50	0.00	22.75	2.28	7200	13.6	1.9
Julio Jones	WR	ATL	@PIT	150	58.00	3.00	27.50	20.86	8800	16.3	1.9
James Conner	RB	PIT	ATL	-180	58.00	-3.00	30.50	18.97	7800	15.3	2.0
Ryan Tannehill	QB	MIA	@CIN	215	48.50	6.00	21.25	3.25	6600	14.8	2.2
Saquon Barkley	RB	NYG	@CAR	225	43.50	6.00	18.75	9.19	7900	13.9	1.8
Eli Manning	QB	NYG	@CAR	225	43.50	6.00	18.75	2.35	6500	13.6	2.1
C.J. Beathard	QB	SF	ARI	-195	40.00	-3.50	21.75	1.27	6300	14.0	2.2
Baker Mayfield	QB	CLE	BAL	145	45.50	0.00	22.75	1.32	7100	15.4	2.2
Josh Rosen	QB	ARI	@SF	165	40.00	3.50	18.25	1.57	6400	0.0	0.0
Case Keenum	QB	DEN	@NYJ	-115	42.50	0.00	21.25	1.11	6500	14.7	2.3
David Johnson	RB	ARI	@SF	165	40.00	3.50	18.25	8.70	7600	16.0	2.1
Adam Thielen	WR	MIN	@PHI	145	46.50	3.00	21.75	8.42	8300	15.5	1.9
Odell Beckham	WR	NYG	@CAR	225	43.50	6.00	18.75	8.58	8300	16.6	2.0
Keenan Allen	WR	LAC	OAK	-235	52.50	-5.50	29.00	15.07	8100	14.2	1.8
A.J. Green	WR	CIN	MIA	-265	48.50	-6.00	27.25	11.68	8500	14.6	1.7
Kareem Hunt	RB	KC	JAX	-150	49.00	-3.00	26.00	6.11	7800	11.0	1.4
Sam Darnold	QB	NYJ	DEN	-105	42.50	0.00	21.25	0.94	6300	13.0	2.1
Devonta Freeman	RB	ATL	@PIT	150	58.00	3.00	27.50	14.21	6800	13.6	2.0
Josh Allen	QB	BUF	TEN	200	39.50	0.00	19.75	0.42	6400	14.1	2.2
Stefon Diggs	WR	MIN	@PHI	145	46.50	3.00	21.75	6.34	8200	12.3	1.5
T.J. Yeldon	RB	JAX	@KC	130	49.00	3.00	23.00	12.58	6500	12.7	2.0
Tyreek Hill	WR	KC	JAX	-150	49.00	-3.00	26.00	6.51	7800	12.5	1.6
JuJu Smith-Schuster	WR	PIT	ATL	-180	58.00	-3.00	30.50	11.92	8000	15.8	2.0
Marshawn Lynch	RB	OAK	@LAC	190	52.50	5.50	23.50	13.15	6500	10.2	1.6
Joe Mixon	RB	CIN	MIA	-265	48.50	-6.00	27.25	9.40	7100	17.5	2.5
Golden Tate	WR	DET	GB	0	0.00	0.00	0.00	6.21	7400	12.7	1.7
Brandin Cooks	WR	LAR	@SEA	-340	50.00	0.00	25.00	4.74	7800	14.3	1.8
Zach Ertz	TE	PHI	MIN	-170	46.50	-3.00	24.75	7.46	7500	11.1	1.5
Travis Kelce	TE	KC	JAX	-150	49.00	-3.00	26.00	7.83	7700	12.4	1.6
Davante Adams	WR	GB	@DET	0	0.00	0.00	0.00	5.36	8000	14.4	1.8
Robert Woods	WR	LAR	@SEA	-340	50.00	0.00	25.00	4.12	7200	10.8	1.5
Amari Cooper	WR	OAK	@LAC	190	52.50	5.50	23.50	9.75	6500	9.4	1.4
Cooper Kupp	WR	LAR	@SEA	-340	50.00	0.00	25.00	4.15	6700	12.1	1.8
Jarvis Landry	WR	CLE	BAL	145	45.50	0.00	22.75	3.73	6900	12.4	1.8
Javorius Allen	RB	BAL	@CLE	-170	45.50	0.00	22.75	4.28	5400	7.4	1.4
