PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Jared Goff	QB	LAR	@DEN	-310	51.50	0.00	25.75	4.79	6000	11.5	1.9
Kirk Cousins	QB	MIN	ARI	-510	43.00	-10.00	26.50	8.09	6700	13.5	2.0
Jameis Winston	QB	TB	@ATL	145	57.50	3.00	27.25	12.22	5800	13.1	2.3
Antonio Brown	WR	PIT	@CIN	105	51.00	1.50	24.75	18.44	8700	29.7	3.4
Todd Gurley	RB	LAR	@DEN	-310	51.50	0.00	25.75	10.99	10000	22.9	2.3
Julio Jones	WR	ATL	TB	-170	57.50	-3.00	30.25	28.59	7900	10.0	1.3
Matt Ryan	QB	ATL	TB	-170	57.50	-3.00	30.25	11.60	6800	11.9	1.8
Adam Thielen	WR	MIN	ARI	-510	43.00	-10.00	26.50	15.11	8500	28.4	3.3
Ben Roethlisberger	QB	PIT	@CIN	105	51.00	1.50	24.75	6.59	6500	11.8	1.8
Philip Rivers	QB	LAC	@CLE	0	0.00	0.00	0.00	4.51	5900	11.3	1.9
Deshaun Watson	QB	HOU	BUF	-480	41.00	-10.00	25.50	9.14	6400	15.3	2.4
Christian McCaffrey	RB	CAR	@WAS	100	44.00	1.00	21.50	16.76	8300	20.1	2.4
Cam Newton	QB	CAR	@WAS	100	44.00	1.00	21.50	5.19	6100	17.4	2.9
Russell Wilson	QB	SEA	@OAK	-145	48.50	0.00	24.25	4.41	5700	11.2	2.0
Andy Dalton	QB	CIN	PIT	-125	51.00	-1.50	26.25	6.64	6300	11.0	1.8
Melvin Gordon	RB	LAC	@CLE	0	0.00	0.00	0.00	10.51	8200	18.9	2.3
Andrew Luck	QB	IND	@NYJ	105	45.50	2.00	21.75	4.73	6200	11.7	1.9
Mike Evans	WR	TB	@ATL	145	57.50	3.00	27.25	20.03	8100	26.7	3.3
Keenan Allen	WR	LAC	@CLE	0	0.00	0.00	0.00	10.55	7500	26.2	3.5
James Conner	RB	PIT	@CIN	105	51.00	1.50	24.75	19.88	7700	24.1	3.1
A.J. Green	WR	CIN	PIT	-125	51.00	-1.50	26.25	13.19	8000	25.2	3.2
DeAndre Hopkins	WR	HOU	BUF	-480	41.00	-10.00	25.50	14.42	7700	27.9	3.6
Stefon Diggs	WR	MIN	ARI	-510	43.00	-10.00	26.50	11.92	7600	10.0	1.3
Alex Smith	QB	WAS	CAR	-120	44.00	-1.00	22.50	2.76	5400	12.7	2.3
Joe Mixon	RB	CIN	PIT	-125	51.00	-1.50	26.25	10.90	7500	22.4	3.0
Ezekiel Elliott	RB	DAL	JAX	145	40.50	0.00	20.25	3.19	7000	23.0	3.3
Derek Carr	QB	OAK	SEA	125	48.50	0.00	24.25	2.69	5100	10.7	2.1
Blake Bortles	QB	JAX	@DAL	-170	40.50	0.00	20.25	1.23	5600	13.7	2.5
Mitchell Trubisky	QB	CHI	@MIA	-195	41.50	0.00	20.75	1.25	5300	12.9	2.4
Joe Flacco	QB	BAL	@TEN	-140	41.50	0.00	20.75	1.41	5200	11.8	2.3
