PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Todd Gurley	RB	LAR	@SF	-450	52.00	-9.50	30.75	13.06	9800	26.0	2.7
Jared Goff	QB	LAR	@SF	-450	52.00	-9.50	30.75	3.90	6600	18.4	2.8
Jameis Winston	QB	TB	CLE	-195	51.50	-3.50	27.50	14.55	6300	18.4	2.9
Adam Thielen	WR	MIN	@NYJ	-195	46.00	-3.50	24.75	12.52	8600	24.9	2.9
Cam Newton	QB	CAR	@PHI	185	44.50	4.50	20.00	7.55	5900	19.2	3.3
Christian McCaffrey	RB	CAR	@PHI	185	44.50	4.50	20.00	10.86	7700	16.3	2.1
Kirk Cousins	QB	MIN	@NYJ	-195	46.00	-3.50	24.75	3.24	6400	19.4	3.0
Andrew Luck	QB	IND	BUF	-330	43.00	-7.50	25.25	8.39	6200	18.3	3.0
Carson Wentz	QB	PHI	CAR	-225	44.50	-4.50	24.50	6.29	6000	18.1	3.0
Drew Brees	QB	NO	@BAL	125	49.50	2.50	23.50	9.16	5700	16.7	2.9
Alvin Kamara	RB	NO	@BAL	125	49.50	2.50	23.50	15.63	8500	16.4	1.9
Tom Brady	QB	NE	@CHI	-150	48.50	-2.50	25.50	4.42	6100	16.2	2.7
Deshaun Watson	QB	HOU	@JAX	175	41.00	4.50	18.25	4.10	5500	18.0	3.3
Michael Thomas	WR	NO	@BAL	125	49.50	2.50	23.50	20.17	7900	18.9	2.4
Mitchell Trubisky	QB	CHI	NE	130	48.50	2.50	23.00	4.29	5600	17.8	3.2
Joe Flacco	QB	BAL	NO	-145	49.50	-2.50	26.00	8.79	5400	17.4	3.2
Matthew Stafford	QB	DET	@MIA	-160	46.50	-3.00	24.75	2.74	5800	17.7	3.1
Baker Mayfield	QB	CLE	@TB	165	51.50	3.50	24.00	10.45	5800	17.5	3.0
Ezekiel Elliott	RB	DAL	@WAS	100	41.50	1.00	20.25	6.34	8100	18.6	2.3
Blake Bortles	QB	JAX	HOU	-210	41.00	-4.50	22.75	3.27	5200	16.6	3.2
Alex Smith	QB	WAS	DAL	-120	41.50	-1.00	21.25	1.98	5100	17.0	3.3
C.J. Beathard	QB	SF	LAR	350	52.00	9.50	21.25	2.06	4800	13.9	2.9
Dak Prescott	QB	DAL	@WAS	100	41.50	1.00	20.25	1.91	5300	15.1	2.8
Mike Evans	WR	TB	CLE	-195	51.50	-3.50	27.50	24.30	7700	15.7	2.0
James White	RB	NE	@CHI	-150	48.50	-2.50	25.50	6.58	6900	13.5	2.0
Jarvis Landry	WR	CLE	@TB	165	51.50	3.50	24.00	28.14	7300	16.1	2.2
T.J. Yeldon	RB	JAX	HOU	-210	41.00	-4.50	22.75	7.63	6400	13.4	2.1
DeAndre Hopkins	WR	HOU	@JAX	175	41.00	4.50	18.25	7.35	6900	17.7	2.6
Robert Woods	WR	LAR	@SF	-450	52.00	-9.50	30.75	6.85	7000	15.0	2.1
Stefon Diggs	WR	MIN	@NYJ	-195	46.00	-3.50	24.75	6.55	7200	15.2	2.1
Zach Ertz	TE	PHI	CAR	-225	44.50	-4.50	24.50	7.42	7100	15.0	2.1
Brandin Cooks	WR	LAR	@SF	-450	52.00	-9.50	30.75	5.30	7100	16.0	2.3
Golden Tate	WR	DET	@MIA	-160	46.50	-3.00	24.75	6.07	6400	14.7	2.3
Sony Michel	RB	NE	@CHI	-150	48.50	-2.50	25.50	6.00	5500	13.9	2.5
Sam Darnold	QB	NYJ	MIN	165	46.00	3.50	21.25	0.89	4900	14.2	2.9
Rob Gronkowski	TE	NE	@CHI	-150	48.50	-2.50	25.50	5.31	6000	13.0	2.2
Chris Thompson	RB	WAS	DAL	-120	41.50	-1.00	21.25	2.45	5800	14.1	2.4
Matt Breida	RB	SF	LAR	350	52.00	9.50	21.25	3.88	5300	9.5	1.8
Willie Snead	WR	BAL	NO	-145	49.50	-2.50	26.00	17.23	4000	12.0	3.0
Julian Edelman	WR	NE	@CHI	-150	48.50	-2.50	25.50	4.99	6600	11.2	1.7
Eric Ebron	TE	IND	BUF	-330	43.00	-7.50	25.25	7.54	5400	12.5	2.3
Tarik Cohen	RB	CHI	NE	130	48.50	2.50	23.00	6.95	5100	12.2	2.4
T.Y. Hilton	WR	IND	BUF	-330	43.00	-7.50	25.25	9.90	6200	15.7	2.5
Latavius Murray	RB	MIN	@NYJ	-195	46.00	-3.50	24.75	4.46	5000	7.5	1.5
Alshon Jeffery	WR	PHI	CAR	-225	44.50	-4.50	24.50	6.02	6300	15.5	2.5
Javorius Allen	RB	BAL	NO	-145	49.50	-2.50	26.00	13.35	4500	10.0	2.2
Michael Crabtree	WR	BAL	NO	-145	49.50	-2.50	26.00	11.34	5100	12.7	2.5
LeSean McCoy	RB	BUF	@IND	265	43.00	7.50	17.75	11.02	5600	14.6	2.6
Kenny Golladay	WR	DET	@MIA	-160	46.50	-3.00	24.75	4.13	6000	12.2	2.0
Jordan Howard	RB	CHI	NE	130	48.50	2.50	23.00	5.61	5500	12.8	2.3
Brock Osweiler	QB	MIA	DET	135	46.50	3.00	21.75	0.49	4700	13.2	2.8
Allen Robinson	WR	CHI	NE	130	48.50	2.50	23.00	5.58	6100	13.1	2.1
Mark Ingram	RB	NO	@BAL	125	49.50	2.50	23.50	6.50	5900	10.6	1.8
Kerryon Johnson	RB	DET	@MIA	-160	46.50	-3.00	24.75	4.40	4500	8.4	1.9
Greg Olsen	TE	CAR	@PHI	185	44.50	4.50	20.00	5.52	4400	9.8	2.2
Alex Collins	RB	BAL	NO	-145	49.50	-2.50	26.00	9.94	4800	10.7	2.2
DeSean Jackson	WR	TB	CLE	-195	51.50	-3.50	27.50	13.38	5800	10.8	1.9
George Kittle	TE	SF	LAR	350	52.00	9.50	21.25	3.79	5000	10.4	2.1
