PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Drew Brees	QB	NO	WAS	-270	52.50	-6.00	29.25	45.58	6500	24.0	3.7
Alvin Kamara	RB	NO	WAS	-270	52.50	-6.00	29.25	97.14	9700	23.7	2.4
Deshaun Watson	QB	HOU	DAL	-170	45.50	-3.00	24.25	13.99	6300	22.1	3.5
Michael Thomas	WR	NO	WAS	-270	52.50	-6.00	29.25	91.55	8500	21.1	2.5
Alex Smith	QB	WAS	@NO	220	52.50	6.00	23.25	34.55	5600	18.9	3.4
DeAndre Hopkins	WR	HOU	DAL	-170	45.50	-3.00	24.25	19.18	7800	18.9	2.4
Ezekiel Elliott	RB	DAL	@HOU	145	45.50	3.00	21.25	17.61	8300	18.7	2.3
Dak Prescott	QB	DAL	@HOU	145	45.50	3.00	21.25	5.77	5300	17.1	3.2
Chris Thompson	RB	WAS	@NO	220	52.50	6.00	23.25	44.77	6000	14.2	2.4
Adrian Peterson	RB	WAS	@NO	220	52.50	6.00	23.25	47.20	5000	13.2	2.6
Jamison Crowder	WR	WAS	@NO	220	52.50	6.00	23.25	64.45	4500	13.1	2.9
Jordan Reed	TE	WAS	@NO	220	52.50	6.00	23.25	41.75	5400	13.0	2.4
Will Fuller	WR	HOU	DAL	-170	45.50	-3.00	24.25	6.48	6400	12.8	2.0
Mark Ingram	RB	NO	WAS	-270	52.50	-6.00	29.25	31.88	5200	11.4	2.2
Lamar Miller	RB	HOU	DAL	-170	45.50	-3.00	24.25	2.56	4500	10.6	2.3
Cole Beasley	WR	DAL	@HOU	145	45.50	3.00	21.25	13.75	3700	10.5	2.8
Paul Richardson	WR	WAS	@NO	220	52.50	6.00	23.25	39.64	4200	9.9	2.4
Keke Coutee	WR	HOU	DAL	-170	45.50	-3.00	24.25	3.13	4800	9.5	2.0
Ben Watson	TE	NO	WAS	-270	52.50	-6.00	29.25	28.45	3100	8.4	2.7
Tavon Austin	WR	DAL	@HOU	145	45.50	3.00	21.25	6.56	3500	8.4	2.4
Alfred Blue	RB	HOU	DAL	-170	45.50	-3.00	24.25	1.20	3900	8.1	2.1
Cameron Meredith	WR	NO	WAS	-270	52.50	-6.00	29.25	29.45	3600	7.9	2.2
Geoff Swaim	TE	DAL	@HOU	145	45.50	3.00	21.25	11.34	2800	7.6	2.7
Houston Texans	D	HOU	DAL	145	45.50	3.00	21.25	0.00	2900	7.3	2.5
Michael Gallup	WR	DAL	@HOU	145	45.50	3.00	21.25	5.07	3400	7.3	2.2
Josh Doctson	WR	WAS	@NO	220	52.50	6.00	23.25	19.15	3700	6.7	1.8
New Orleans Saints	D	NO	WAS	220	52.50	6.00	23.25	0.00	2300	6.3	2.8
Dallas Cowboys	D	DAL	@HOU	-170	45.50	-3.00	24.25	0.00	2400	5.7	2.4
Ryan Griffin	TE	HOU	DAL	-170	45.50	-3.00	24.25	4.17	2500	5.6	2.2
Allen Hurns	WR	DAL	@HOU	145	45.50	3.00	21.25	1.99	3500	5.4	1.6
Vernon Davis	TE	WAS	@NO	220	52.50	6.00	23.25	12.95	2800	4.6	1.7
Washington Redskins	D	WAS	@NO	-270	52.50	-6.00	29.25	0.00	2000	4.3	2.1
Rod Smith	RB	DAL	@HOU	145	45.50	3.00	21.25	0.54	4000	4.2	1.0
Jordan Thomas	TE	HOU	DAL	-170	45.50	-3.00	24.25	1.67	2500	3.9	1.6
Deonte Thompson	WR	DAL	@HOU	145	45.50	3.00	21.25	0.47	3400	3.2	0.9
Austin Carr	WR	NO	WAS	-270	52.50	-6.00	29.25	6.70	3000	3.2	1.1
Jordan Akins	TE	HOU	DAL	-170	45.50	-3.00	24.25	0.84	2500	3.0	1.2
Tre'Quan Smith	WR	NO	WAS	-270	52.50	-6.00	29.25	5.32	3200	2.7	0.9
Brice Butler	WR	DAL	@HOU	145	45.50	3.00	21.25	0.29	3000	2.5	0.9
Josh Hill	TE	NO	WAS	-270	52.50	-6.00	29.25	5.92	2500	2.0	0.8
Sammie Coates	WR	HOU	DAL	-170	45.50	-3.00	24.25	0.00	3000	1.2	0.4
Samaje Perine	RB	WAS	@NO	220	52.50	6.00	23.25	1.32	3200	0.9	0.3
Taysom Hill	QB	NO	WAS	-270	52.50	-6.00	29.25	0.11	4000	0.5	0.1
Jeremy Sprinkle	TE	WAS	@NO	220	52.50	6.00	23.25	2.67	2500	0.4	0.1
Maurice Harris	WR	WAS	@NO	220	52.50	6.00	23.25	1.40	3000	0.3	0.1
Rico Gathers	TE	DAL	@HOU	145	45.50	3.00	21.25	0.13	2500	0.3	0.1
Blake Jarwin	TE	DAL	@HOU	145	45.50	3.00	21.25	0.11	2500	0.2	0.1
Brian Quick	WR	WAS	@NO	220	52.50	6.00	23.25	1.25	3000	0.2	0.1
Kapri Bibbs	RB	WAS	@NO	220	52.50	6.00	23.25	0.79	3000	0.1	0.0
Mike White	QB	DAL	@HOU	145	45.50	3.00	21.25	0.00	4000	0.0	0.0
Vyncint Smith	WR	HOU	DAL	-170	45.50	-3.00	24.25	0.00	3000	0.0	0.0
Noah Brown	WR	DAL	@HOU	145	45.50	3.00	21.25	0.00	3000	0.0	0.0
Byron Marshall	RB	WAS	@NO	220	52.50	6.00	23.25	0.00	3000	0.0	0.0
Rob Kelley	RB	WAS	@NO	220	52.50	6.00	23.25	0.00	3000	0.0	0.0
Michael Floyd	WR	WAS	@NO	220	52.50	6.00	23.25	0.00	3000	0.0	0.0
D'Onta Foreman	RB	HOU	DAL	-170	45.50	-3.00	24.25	0.00	4000	0.0	0.0
Dwayne Washington	RB	NO	WAS	-270	52.50	-6.00	29.25	0.00	3000	0.0	0.0
Bruce Ellington	WR	HOU	DAL	-170	45.50	-3.00	24.25	0.00	3200	0.0	0.0
Zach Line	RB	NO	WAS	-270	52.50	-6.00	29.25	0.00	3000	0.0	0.0
Dan Arnold	TE	NO	WAS	-270	52.50	-6.00	29.25	0.00	2500	0.0	0.0
Tyler Ervin	RB	HOU	DAL	-170	45.50	-3.00	24.25	0.00	3000	0.0	0.0
Buddy Howell	RB	HOU	DAL	-170	45.50	-3.00	24.25	0.00	3000	0.0	0.0
Dalton Schultz	TE	DAL	@HOU	145	45.50	3.00	21.25	0.00	2500	0.0	0.0
Jamize Olawale	RB	DAL	@HOU	145	45.50	3.00	21.25	0.00	3000	0.0	0.0
